date,game_pk,market,entity,player_id,line,side,proj,z,price,rank,PA,on_board
2026-08-11,822697,TB,Dansby Swanson (CHC),621020,1.5,O,0.395,-0.048,180,1,443,EV
2026-08-11,822697,TB,CJ Abrams (WSH),682928,1.5,O,0.426,0.217,160,2,498,EV
2026-08-11,822697,TB,Ian Happ (CHC),664023,1.5,O,0.417,0.126,165,3,490,EV
2026-08-11,824886,TB,Drake Baldwin (ATL),686948,1.5,O,0.462,0.772,135,4,428,EV+Z
2026-08-11,823019,TB,Bryce Harper (PHI),547180,1.5,O,0.482,0.753,122,5,510,EV+Z
2026-08-11,824886,TB,Michael Harris (ATL),671739,1.5,O,0.461,0.639,130,6,453,EV+Z
2026-08-11,824563,TB,Miguel Vargas (CWS),678246,1.5,O,0.47,0.626,125,7,509,EV+Z
2026-08-11,823019,TB,JJ Wetherholt (STL),802139,1.5,O,0.391,0.267,170,8,512,EV
2026-08-11,823512,TB,Ben Rice (NYY),700250,1.5,O,0.468,0.638,125,9,483,EV+Z
2026-08-11,823512,TB,Luis Garcia (NYY),671277,1.5,O,0.476,0.884,120,10,21,
2026-08-11,823019,TB,Kyle Schwarber (PHI),656941,1.5,O,0.476,0.573,120,11,508,EV+Z
2026-08-11,823186,TB,Yordan Alvarez (HOU),670541,1.5,O,0.523,1.175,100,12,522,EV+Z
2026-08-11,824886,TB,Francisco Lindor (NYM),596019,1.5,O,0.469,0.476,123,13,275,EV
2026-08-11,823673,TB,Royce Lewis (MIN),668904,1.5,O,0.439,-0.095,138,14,348,EV
2026-08-11,824970,TB,Carlos Cortes (ATH),666126,1.5,O,0.409,0.172,155,15,268,EV
2026-08-11,823673,TB,Tyler O'Neill (BAL),641933,1.5,O,0.443,-0.02,135,16,226,EV
2026-08-11,822697,TB,Daylen Lile (WSH),695734,1.5,O,0.395,-0.11,163,17,488,EV
2026-08-11,822697,TB,Dylan Crews (WSH),686611,1.5,O,0.433,0.222,140,18,279,EV
2026-08-11,822697,TB,Michael Busch (CHC),683737,1.5,O,0.478,0.233,117,19,531,EV
2026-08-11,823997,TB,Brandon Nimmo (TEX),607043,1.5,O,0.482,0.207,115,20,478,EV
2026-08-11,824886,TB,Francisco Alvarez (NYM),682626,1.5,O,0.383,0.477,170,21,304,EV
