date,market,entity,player_id,team,game,line,proj,z,price,rank,PA,on_board
2026-08-13,TB,Randy Arozarena,668227,SEA,SEA@NYY,1.5,0.41419,0.64796,165,1,483.0,1
2026-08-13,TB,Julio Rodriguez,677594,SEA,SEA@NYY,1.5,0.42717,0.69514,155,2,475.0,1
2026-08-13,TB,Luis Garcia,671277,NYY,SEA@NYY,1.5,0.42899,0.64798,150,3,29.0,0
2026-08-13,TB,Abimelec Ortiz,694673,WSH,CHC@WSH,1.5,0.43446,1.36747,146,4,27.0,0
2026-08-13,TB,Taylor Ward,621493,SEA,SEA@NYY,1.5,0.38455,-0.14582,175,5,32.0,0
2026-08-13,TB,Nathaniel Lowe,663993,CLE,CLE@DET,1.5,0.43917,0.46469,140,6,21.0,0
2026-08-13,TB,Tommy Edman,669242,LAD,MIL@LAD,1.5,0.41131,0.17696,155,7,166.0,1
2026-08-13,TB,Michael Busch,683737,CHC,CHC@WSH,1.5,0.44869,0.14466,133,8,541.0,1
2026-08-13,TB,Trent Grisham,663757,NYY,SEA@NYY,1.5,0.41965,0.0704,148,9,399.0,1
2026-08-13,TB,Brandon Lowe,664040,PIT,PIT@MIA,1.5,0.46102,0.60494,125,10,500.0,1
2026-08-13,TB,Sal Stewart,701398,CIN,CIN@CWS,1.5,0.44933,0.30836,130,11,515.0,1
2026-08-13,TB,Pete Crow-Armstrong,691718,CHC,CHC@WSH,1.5,0.52715,0.67496,-105,12,538.0,1
2026-08-13,TB,JJ Bleday,668709,CIN,CIN@CWS,1.5,0.41383,0.54429,148,13,381.0,1
2026-08-13,TB,Daylen Lile,695734,WSH,CHC@WSH,1.5,0.44564,0.18259,130,14,496.0,1
2026-08-13,TB,Travis Bazzana,683953,CLE,CLE@DET,1.5,0.37167,0.25657,175,15,375.0,1
2026-08-13,TB,CJ Abrams,682928,WSH,CHC@WSH,1.5,0.4864,0.62103,110,16,508.0,1
2026-08-13,TB,Mookie Betts,605141,LAD,MIL@LAD,1.5,0.40556,0.37481,150,17,354.0,1
2026-08-13,TB,Wyatt Langford,694671,TEX,TEX@LAA,1.5,0.43113,0.1319,135,18,294.0,1
2026-08-13,TB,Esmerlyn Valdez,699013,PIT,PIT@MIA,1.5,0.3658,0.55593,175,19,204.0,1
2026-08-13,TB,Teoscar Hernandez,606192,LAD,MIL@LAD,1.5,0.38673,0.17367,160,20,331.0,1
2026-08-13,TB,Tyler Stephenson,663886,CIN,CIN@CWS,1.5,0.36494,0.24462,175,21,325.0,1
2026-08-13,TB,Chase DeLauter,800050,CLE,CLE@DET,1.5,0.46527,0.67275,115,22,439.0,1
2026-08-13,TB,Cole Young,702284,SEA,SEA@NYY,1.5,0.35061,0.28448,185,23,485.0,1
2026-08-13,TB,Andy Pages,681624,LAD,MIL@LAD,1.5,0.43752,0.48927,128,24,517.0,1
2026-08-13,TB,Alex Bregman,608324,CHC,CHC@WSH,1.5,0.43329,0.02053,130,25,542.0,0
2026-08-13,TB,Chase Meidroth,805367,CWS,CIN@CWS,1.5,0.40666,-0.08673,145,26,479.0,0
2026-08-13,TB,Heliot Ramos,671218,NYY,SEA@NYY,1.5,0.40927,-0.12512,143,27,29.0,0
2026-08-13,TB,Ben Rice,700250,NYY,SEA@NYY,1.5,0.44587,0.50288,123,28,492.0,1
2026-08-13,TB,Cal Raleigh,663728,SEA,SEA@NYY,1.5,0.368,0.01234,170,29,367.0,0
2026-08-13,TB,Luis Arraez,650333,PHI,PHI@MIN,1.5,0.43524,0.2808,128,30,42.0,0
2026-08-13,TB,Wilyer Abreu,677800,BOS,BOS@TOR,1.5,0.45297,0.53494,119,31,508.0,1
2026-08-13,TB,Shohei Ohtani,660271,LAD,MIL@LAD,1.5,0.48602,0.95743,104,32,509.0,1
2026-08-13,TB,Willson Contreras,575929,BOS,BOS@TOR,1.5,0.44608,0.8032,122,33,451.0,1
2026-08-13,TB,Adley Rutschman,668939,BOS,BOS@TOR,1.5,0.43428,0.55501,128,34,9.0,0
2026-08-13,TB,Miguel Vargas,678246,CWS,CIN@CWS,1.5,0.46372,0.71197,113,35,513.0,1
2026-08-13,TB,Jo Adell,666176,CLE,CLE@DET,1.5,0.39508,-0.02692,150,36,37.0,0
2026-08-13,TB,Spencer Horwitz,687462,PIT,PIT@MIA,1.5,0.41152,0.48873,140,37,329.0,1
2026-08-13,TB,Elly De La Cruz,682829,CIN,CIN@CWS,1.5,0.45223,0.40421,118,38,448.0,0
2026-08-13,TB,Bryce Harper,547180,PHI,PHI@MIN,1.5,0.43727,0.82625,125,39,518.0,1
2026-08-13,TB,Seiya Suzuki,673548,CHC,CHC@WSH,1.5,0.45744,0.13448,115,40,453.0,0
2026-08-13,TB,Jose Ramirez,608070,CLE,CLE@DET,1.5,0.44293,0.41887,122,41,385.0,0
2026-08-13,TB,Keibert Ruiz,660688,WSH,CHC@WSH,1.5,0.37016,0.12723,165,42,269.0,0
2026-08-13,TB,Brice Turang,668930,MIL,MIL@LAD,1.5,0.39928,0.13973,145,43,523.0,0
2026-08-13,TB,Xavier Edwards,669364,MIA,PIT@MIA,1.5,0.41502,0.02891,135,44,507.0,0
2026-08-13,TB,Brandon Nimmo,607043,TEX,TEX@LAA,1.5,0.40592,0.50752,140,45,486.0,1
2026-08-13,TB,Joc Pederson,592626,TEX,TEX@LAA,1.5,0.43205,0.72872,125,46,363.0,1
2026-08-13,TB,Nico Hoerner,663538,CHC,CHC@WSH,1.5,0.4135,-0.14681,135,47,525.0,0
2026-08-13,TB,Nick Gonzales,693304,PIT,PIT@MIA,1.5,0.43084,0.12945,125,48,478.0,0
2026-08-13,TB,Dillon Dingler,693307,DET,CLE@DET,1.5,0.43862,0.24658,121,49,471.0,0
2026-08-13,TB,Ceddanne Rafaela,678882,BOS,BOS@TOR,1.5,0.42109,0.03168,130,50,484.0,0
2026-08-13,TB,Bryan Reynolds,668804,PIT,PIT@MIA,1.5,0.40233,0.41715,140,51,530.0,0
2026-08-13,TB,Jackson Chourio,694192,MIL,MIL@LAD,1.5,0.43864,0.05828,120,52,393.0,0
2026-08-13,TB,Eugenio Suarez,553993,CIN,CIN@CWS,1.5,0.37832,-0.27234,155,53,350.0,0
2026-08-13,TB,Vladimir Guerrero,665489,TOR,BOS@TOR,1.5,0.40517,0.23465,138,54,479.0,0
2026-08-13,TB,Corey Seager,608369,TEX,TEX@LAA,1.5,0.42427,0.45743,127,55,263.0,0
2026-08-13,TB,Javier Sanoja,691594,MIA,PIT@MIA,1.5,0.3821,-0.07597,152,56,324.0,0
2026-08-13,TB,Freddie Freeman,518692,LAD,MIL@LAD,1.5,0.40615,0.43044,137,57,505.0,0
2026-08-13,TB,Steven Kwan,680757,CLE,CLE@DET,1.5,0.42338,0.03294,127,58,455.0,0
2026-08-13,TB,Byron Buxton,621439,MIN,PHI@MIN,1.5,0.47303,0.48452,103,59,362.0,1
2026-08-13,TB,Ronny Simon,682927,PIT,PIT@MIA,1.5,0.3693,0.16416,160,60,26.0,0
2026-08-13,TB,Masataka Yoshida,807799,BOS,BOS@TOR,1.5,0.46742,0.37292,105,61,285.0,0
2026-08-13,TB,Kyle Schwarber,656941,PHI,PHI@MIN,1.5,0.44558,0.64676,115,62,516.0,1
2026-08-13,TB,Nolan Schanuel,694384,LAA,TEX@LAA,1.5,0.35416,0.02095,170,63,421.0,0
2026-08-13,TB,Brandon Marsh,669016,PHI,PHI@MIN,1.5,0.37474,0.105,155,64,461.0,0
2026-08-13,TB,Dansby Swanson,621020,CHC,CHC@WSH,1.5,0.36723,-0.0936,160,65,452.0,0
2026-08-13,TB,Kody Clemens,665019,MIN,PHI@MIN,1.5,0.42277,0.17812,125,66,429.0,0
2026-08-13,TB,Caleb Durbin,702332,BOS,BOS@TOR,1.5,0.36156,-0.05756,163,67,426.0,0
2026-08-13,TB,Otto Lopez,672640,MIA,PIT@MIA,1.5,0.44617,0.24297,113,68,508.0,0
2026-08-13,TB,Garrett Mitchell,669003,MIL,MIL@LAD,1.5,0.33886,0.04283,180,69,406.0,0
2026-08-13,TB,Ryan Jeffers,680777,MIN,PHI@MIN,1.5,0.40893,0.2805,132,70,240.0,0
2026-08-13,TB,Ernie Clement,676391,TOR,BOS@TOR,1.5,0.33728,-0.13674,180,71,480.0,0
2026-08-13,TB,Gleyber Torres,650402,DET,CLE@DET,1.5,0.35905,-0.31608,163,72,280.0,0
2026-08-13,TB,William Contreras,661388,MIL,MIL@LAD,1.5,0.39345,-0.03726,140,73,481.0,0
2026-08-13,TB,Munetaka Murakami,808959,CWS,CIN@CWS,1.5,0.39631,0.38746,138,74,367.0,0
2026-08-13,TB,Spencer Torkelson,679529,DET,CLE@DET,1.5,0.35574,-0.06049,165,75,472.0,0
2026-08-13,TB,Kevin McGonigle,805808,DET,CLE@DET,1.5,0.39236,-0.15994,140,76,524.0,0
2026-08-13,TB,Ezequiel Duran,677649,TEX,TEX@LAA,1.5,0.34867,-0.01862,170,77,427.0,0
2026-08-13,TB,Jarren Duran,680776,BOS,BOS@TOR,1.5,0.40921,-0.01146,130,78,479.0,0
2026-08-13,TB,Randal Grichuk,545341,CWS,CIN@CWS,1.5,0.39137,0.08561,140,79,33.0,0
2026-08-13,TB,Jake Mangum,663968,PIT,PIT@MIA,1.5,0.42559,-0.22049,120,80,357.0,0
2026-08-13,TB,Bryson Stott,681082,PHI,PHI@MIN,1.5,0.38169,0.17091,145,81,453.0,0
2026-08-13,TB,Trevor Larnach,663616,MIN,PHI@MIN,1.5,0.38764,0.13686,140,82,362.0,0
2026-08-13,TB,Josh Bell,605137,MIN,PHI@MIN,1.5,0.39635,-0.01869,132,83,475.0,0
2026-08-13,TB,Mike Trout,545361,LAA,TEX@LAA,1.5,0.37411,0.35117,145,84,456.0,0
2026-08-13,TB,Andrew Vaughn,683734,MIL,MIL@LAD,1.5,0.33301,-0.03119,175,85,243.0,0
2026-08-13,TB,Kyle Tucker,663656,LAD,MIL@LAD,1.5,0.36612,0.12921,150,86,468.0,0
2026-08-13,TB,Alec Bohm,664761,PHI,PHI@MIN,1.5,0.36689,-0.18491,149,87,473.0,0
2026-08-13,TB,Trea Turner,607208,PHI,PHI@MIN,1.5,0.42463,-0.1916,115,88,524.0,0
2026-08-13,TB,Colson Montgomery,695657,CWS,CIN@CWS,1.5,0.36559,-0.12159,145,89,477.0,0
2026-08-13,TB,Luke Keaschall,807712,MIN,PHI@MIN,1.5,0.34335,-0.34665,160,90,445.0,0
2026-08-13,TB,Braden Montgomery,695731,CWS,CIN@CWS,1.5,0.3416,-0.30101,160,91,212.0,0
2026-08-13,TB,Zach Neto,687263,LAA,TEX@LAA,1.5,0.33473,-0.31611,163,92,528.0,0
2026-08-13,TB,Brenton Doyle,686668,CWS,CIN@CWS,1.5,0.34403,-0.77593,150,93,21.0,0
2026-08-13,HRR,CJ Abrams,682928,WSH,CHC@WSH,1.5,1.63301,1.63301,-124,1,508.0,1
2026-08-13,HRR,Shohei Ohtani,660271,LAD,MIL@LAD,1.5,1.47035,1.47035,-141,2,509.0,1
2026-08-13,HRR,Pete Crow-Armstrong,691718,CHC,CHC@WSH,2.5,1.45095,1.45095,116,3,538.0,1
2026-08-13,HRR,Brice Turang,668930,MIL,MIL@LAD,1.5,1.37697,1.37697,-105,4,523.0,1
2026-08-13,HRR,Seiya Suzuki,673548,CHC,CHC@WSH,1.5,1.35014,1.35014,-133,5,453.0,1
2026-08-13,HRR,Jackson Chourio,694192,MIL,MIL@LAD,1.5,1.33121,1.33121,-117,6,393.0,1
2026-08-13,HRR,Otto Lopez,672640,MIA,PIT@MIA,1.5,1.31283,1.31283,-137,7,508.0,1
2026-08-13,HRR,Byron Buxton,621439,MIN,PHI@MIN,1.5,1.2796,1.2796,-115,8,362.0,1
2026-08-13,HRR,Dillon Dingler,693307,DET,CLE@DET,1.5,1.27343,1.27343,-110,9,471.0,1
2026-08-13,HRR,Elly De La Cruz,682829,CIN,CIN@CWS,1.5,1.24656,1.24656,-127,10,448.0,1
2026-08-13,HRR,Brandon Lowe,664040,PIT,PIT@MIA,1.5,1.19631,1.19631,-130,11,500.0,1
2026-08-13,HRR,Ryan Jeffers,680777,MIN,PHI@MIN,1.5,1.16965,1.16965,105,12,240.0,1
2026-08-13,HRR,Ben Rice,700250,NYY,SEA@NYY,1.5,1.16864,1.16864,-105,13,492.0,1
2026-08-13,HRR,Max Clark,703601,DET,CLE@DET,0.5,1.16475,1.16475,-173,14,50.0,0
2026-08-13,HRR,Sal Stewart,701398,CIN,CIN@CWS,1.5,1.10577,1.10577,-130,15,515.0,1
2026-08-13,HRR,Andy Pages,681624,LAD,MIL@LAD,1.5,1.07525,1.07525,-123,16,517.0,1
2026-08-13,HRR,Munetaka Murakami,808959,CWS,CIN@CWS,1.5,1.06003,1.06003,-104,17,367.0,1
2026-08-13,HRR,Ceddanne Rafaela,678882,BOS,BOS@TOR,1.5,1.00861,1.00861,-123,18,484.0,1
2026-08-13,HRR,Kevin McGonigle,805808,DET,CLE@DET,1.5,0.98449,0.98449,103,19,524.0,1
2026-08-13,HRR,George Lombard,806146,NYY,SEA@NYY,0.5,0.97129,0.97129,-164,20,28.0,0
2026-08-13,HRR,Jake Bauers,641343,MIL,MIL@LAD,1.5,0.93949,0.93949,130,21,430.0,1
2026-08-13,HRR,Randy Arozarena,668227,SEA,SEA@NYY,1.5,0.91997,0.91997,100,22,483.0,1
2026-08-13,HRR,Nick Gonzales,693304,PIT,PIT@MIA,1.5,0.90221,0.90221,-139,23,478.0,0
2026-08-13,HRR,Bryan Reynolds,668804,PIT,PIT@MIA,1.5,0.89303,0.89303,-115,24,530.0,0
2026-08-13,HRR,Willson Contreras,575929,BOS,BOS@TOR,1.5,0.88639,0.88639,-122,25,451.0,0
2026-08-13,HRR,Miguel Vargas,678246,CWS,CIN@CWS,1.5,0.86688,0.86688,-120,26,513.0,0
2026-08-13,HRR,Freddie Freeman,518692,LAD,MIL@LAD,1.5,0.86425,0.86425,-106,27,505.0,0
2026-08-13,HRR,Kyle Schwarber,656941,PHI,PHI@MIN,1.5,0.85045,0.85045,-115,28,516.0,0
2026-08-13,HRR,Gleyber Torres,650402,DET,CLE@DET,1.5,0.84275,0.84275,101,29,280.0,0
2026-08-13,HRR,Trea Turner,607208,PHI,PHI@MIN,1.5,0.82844,0.82844,-124,30,524.0,0
2026-08-13,HRR,Alex Bregman,608324,CHC,CHC@WSH,1.5,0.82702,0.82702,-129,31,542.0,0
2026-08-13,HRR,Chase DeLauter,800050,CLE,CLE@DET,1.5,0.79618,0.79618,-138,32,439.0,0
2026-08-13,HRR,Bryce Harper,547180,PHI,PHI@MIN,1.5,0.73841,0.73841,-110,33,518.0,0
2026-08-13,HRR,Josh Bell,605137,MIN,PHI@MIN,1.5,0.7381,0.7381,-108,34,475.0,0
2026-08-13,HRR,Chase Meidroth,805367,CWS,CIN@CWS,1.5,0.72062,0.72062,-131,35,479.0,0
2026-08-13,HRR,Wilyer Abreu,677800,BOS,BOS@TOR,1.5,0.71694,0.71694,-116,36,508.0,0
2026-08-13,HRR,Wyatt Langford,694671,TEX,TEX@LAA,1.5,0.65957,0.65957,-120,37,294.0,0
2026-08-13,HRR,Esmerlyn Valdez,699013,PIT,PIT@MIA,1.5,0.65455,0.65455,120,38,204.0,0
2026-08-13,HRR,William Contreras,661388,MIL,MIL@LAD,1.5,0.64427,0.64427,105,39,481.0,0
2026-08-13,HRR,Brett Bateman,703520,TOR,BOS@TOR,1.5,0.62998,0.62998,115,40,29.0,0
2026-08-13,HRR,Luis Arraez,650333,PHI,PHI@MIN,1.5,0.57966,0.57966,-132,41,42.0,0
2026-08-13,HRR,Mike Trout,545361,LAA,TEX@LAA,1.5,0.5547,0.5547,120,42,456.0,0
2026-08-13,HRR,Zach Neto,687263,LAA,TEX@LAA,1.5,0.55396,0.55396,135,43,528.0,0
2026-08-13,HRR,Nathaniel Lowe,663993,CLE,CLE@DET,1.5,0.54515,0.54515,100,44,21.0,0
2026-08-13,HRR,Daylen Lile,695734,WSH,CHC@WSH,1.5,0.54252,0.54252,-109,45,496.0,0
2026-08-13,HRR,Kazuma Okamoto,672960,TOR,BOS@TOR,0.5,0.53503,0.53503,-164,46,479.0,0
2026-08-13,HRR,Julio Rodriguez,677594,SEA,SEA@NYY,1.5,0.52349,0.52349,102,47,475.0,0
2026-08-13,HRR,Brandon Marsh,669016,PHI,PHI@MIN,1.5,0.50977,0.50977,115,48,461.0,0
2026-08-13,HRR,Ezequiel Duran,677649,TEX,TEX@LAA,1.5,0.4976,0.4976,-105,49,427.0,0
2026-08-13,HRR,Mookie Betts,605141,LAD,MIL@LAD,1.5,0.48809,0.48809,-111,50,354.0,0
2026-08-13,HRR,Christian Yelich,592885,MIL,MIL@LAD,1.5,0.47508,0.47508,140,51,362.0,0
2026-08-13,HRR,Vladimir Guerrero,665489,TOR,BOS@TOR,1.5,0.46812,0.46812,-105,52,479.0,0
2026-08-13,HRR,Dansby Swanson,621020,CHC,CHC@WSH,1.5,0.46703,0.46703,104,53,452.0,0
2026-08-13,HRR,Nico Hoerner,663538,CHC,CHC@WSH,1.5,0.44422,0.44422,-124,54,525.0,0
2026-08-13,HRR,Javier Baez,595879,DET,CLE@DET,1.5,0.41683,0.41683,125,55,126.0,0
2026-08-13,HRR,Brandon Nimmo,607043,TEX,TEX@LAA,1.5,0.39402,0.39402,-120,56,486.0,0
2026-08-13,HRR,Kody Clemens,665019,MIN,PHI@MIN,1.5,0.3901,0.3901,-105,57,429.0,0
2026-08-13,HRR,Michael Busch,683737,CHC,CHC@WSH,1.5,0.38793,0.38793,-132,58,541.0,0
2026-08-13,HRR,Royce Lewis,668904,MIN,PHI@MIN,1.5,0.37895,0.37895,115,59,357.0,0
2026-08-13,HRR,Brooks Lee,686797,MIN,PHI@MIN,1.5,0.37591,0.37591,117,60,466.0,0
2026-08-13,HRR,Xavier Edwards,669364,MIA,PIT@MIA,1.5,0.36759,0.36759,-120,61,507.0,0
2026-08-13,HRR,Kyle Tucker,663656,LAD,MIL@LAD,1.5,0.36551,0.36551,105,62,468.0,0
2026-08-13,HRR,Colson Montgomery,695657,CWS,CIN@CWS,1.5,0.35678,0.35678,110,63,477.0,0
2026-08-13,HRR,Teoscar Hernandez,606192,LAD,MIL@LAD,1.5,0.35297,0.35297,119,64,331.0,0
2026-08-13,HRR,Jose Ramirez,608070,CLE,CLE@DET,1.5,0.34946,0.34946,-123,65,385.0,0
2026-08-13,HRR,Trent Grisham,663757,NYY,SEA@NYY,1.5,0.34812,0.34812,100,66,399.0,0
2026-08-13,HRR,Tommy Edman,669242,LAD,MIL@LAD,1.5,0.33317,0.33317,-115,67,166.0,0
2026-08-13,HRR,Cole Young,702284,SEA,SEA@NYY,1.5,0.305,0.305,108,68,485.0,0
2026-08-13,HRR,Ronny Simon,682927,PIT,PIT@MIA,1.5,0.30412,0.30412,-105,69,26.0,0
2026-08-13,HRR,Ernie Clement,676391,TOR,BOS@TOR,1.5,0.29943,0.29943,136,70,480.0,0
2026-08-13,HRR,Keibert Ruiz,660688,WSH,CHC@WSH,1.5,0.29373,0.29373,115,71,269.0,0
2026-08-13,HRR,Jake Burger,669394,TEX,TEX@LAA,1.5,0.29321,0.29321,110,72,464.0,0
2026-08-13,HRR,Ian Happ,664023,CHC,CHC@WSH,1.5,0.27592,0.27592,-109,73,498.0,0
2026-08-13,HRR,Vaughn Grissom,687093,LAA,TEX@LAA,1.5,0.25231,0.25231,129,74,303.0,0
2026-08-13,HRR,Bryson Stott,681082,PHI,PHI@MIN,1.5,0.23298,0.23298,105,75,453.0,0
2026-08-13,HRR,Caleb Durbin,702332,BOS,BOS@TOR,1.5,0.21567,0.21567,100,76,426.0,0
2026-08-13,HRR,Braden Montgomery,695731,CWS,CIN@CWS,1.5,0.21453,0.21453,110,77,212.0,0
2026-08-13,HRR,Nolan Schanuel,694384,LAA,TEX@LAA,1.5,0.19469,0.19469,108,78,421.0,0
2026-08-13,HRR,JJ Bleday,668709,CIN,CIN@CWS,1.5,0.19014,0.19014,101,79,381.0,0
2026-08-13,HRR,Josh Naylor,647304,SEA,SEA@NYY,1.5,0.18323,0.18323,124,80,478.0,0
2026-08-13,HRR,Trevor Larnach,663616,MIN,PHI@MIN,1.5,0.14608,0.14608,110,81,362.0,0
2026-08-13,HRR,Jarren Duran,680776,BOS,BOS@TOR,1.5,0.14217,0.14217,-110,82,479.0,0
2026-08-13,HRR,Corey Seager,608369,TEX,TEX@LAA,1.5,0.12957,0.12957,-120,83,263.0,0
2026-08-13,HRR,George Springer,543807,TOR,BOS@TOR,1.5,0.12787,0.12787,105,84,387.0,0
2026-08-13,HRR,Griffin Conine,665052,MIA,PIT@MIA,1.5,0.12689,0.12689,123,85,175.0,0
2026-08-13,HRR,Spencer Horwitz,687462,PIT,PIT@MIA,1.5,0.1256,0.1256,-115,86,329.0,0
2026-08-13,HRR,Jo Adell,666176,CLE,CLE@DET,1.5,0.10747,0.10747,100,87,37.0,0
2026-08-13,HRR,Spencer Torkelson,679529,DET,CLE@DET,1.5,0.09484,0.09484,115,88,472.0,0
2026-08-13,HRR,Travis Bazzana,683953,CLE,CLE@DET,1.5,0.07563,0.07563,110,89,375.0,0
2026-08-13,HRR,Dylan Crews,686611,WSH,CHC@WSH,1.5,0.07326,0.07326,105,90,289.0,0
2026-08-13,HRR,Alec Bohm,664761,PHI,PHI@MIN,1.5,0.02958,0.02958,104,91,473.0,0
2026-08-13,HRR,Garrett Mitchell,669003,MIL,MIL@LAD,1.5,0.02702,0.02702,130,92,406.0,0
2026-08-13,HRR,Jazz Chisholm,665862,NYY,SEA@NYY,1.5,0.01774,0.01774,125,93,439.0,0
2026-08-13,HRR,Jake Mangum,663968,PIT,PIT@MIA,1.5,-0.00317,-0.00317,-144,94,357.0,0
2026-08-13,HRR,Brayan Rocchio,677587,CLE,CLE@DET,1.5,-0.03038,-0.03038,125,95,461.0,0
2026-08-13,HRR,Jacob Gonzalez,694378,PIT,PIT@MIA,1.5,-0.10789,-0.10789,127,96,97.0,0
2026-08-13,HRR,Dominic Canzone,686527,SEA,SEA@NYY,1.5,-0.14403,-0.14403,106,97,353.0,0
2026-08-13,HRR,Andrew Vaughn,683734,MIL,MIL@LAD,1.5,-0.1657,-0.1657,123,98,243.0,0
2026-08-13,HRR,Heriberto Hernandez,681715,MIA,PIT@MIA,1.5,-0.17045,-0.17045,110,99,325.0,0
2026-08-13,HRR,Owen Caissie,683357,MIA,PIT@MIA,0.5,-0.17207,-0.17207,-130,100,273.0,0
2026-08-13,HRR,Jacob Young,696285,WSH,CHC@WSH,0.5,-0.18306,-0.18306,-176,101,364.0,0
2026-08-13,HRR,Abimelec Ortiz,694673,WSH,CHC@WSH,1.5,-0.20356,-0.20356,118,102,27.0,0
2026-08-13,HRR,Joc Pederson,592626,TEX,TEX@LAA,1.5,-0.2036,-0.2036,100,103,363.0,0
2026-08-13,HRR,Joe Mack,691788,MIA,PIT@MIA,0.5,-0.20628,-0.20628,-147,104,236.0,0
2026-08-13,HRR,Steven Kwan,680757,CLE,CLE@DET,1.5,-0.20878,-0.20878,-131,105,455.0,0
2026-08-13,HRR,J.T. Realmuto,592663,PHI,PHI@MIN,1.5,-0.21346,-0.21346,110,106,336.0,0
2026-08-13,HRR,Luis Garcia,671277,NYY,SEA@NYY,1.5,-0.22949,-0.22949,-105,107,29.0,0
2026-08-13,HRR,Andruw Monasterio,655316,BOS,BOS@TOR,1.5,-0.24121,-0.24121,115,108,257.0,0
2026-08-13,HRR,Eugenio Suarez,553993,CIN,CIN@CWS,1.5,-0.24553,-0.24553,115,109,350.0,0
2026-08-13,HRR,Wade Meckler,685133,LAA,TEX@LAA,1.5,-0.25076,-0.25076,127,110,201.0,0
2026-08-13,HRR,Kaelen Culpepper,701785,MIN,PHI@MIN,0.5,-0.31359,-0.31359,-165,111,17.0,0
2026-08-13,HRR,Javier Sanoja,691594,MIA,PIT@MIA,1.5,-0.32923,-0.32923,105,112,324.0,0
2026-08-13,HRR,Alejandro Kirk,672386,TOR,BOS@TOR,1.5,-0.3736,-0.3736,119,113,178.0,0
2026-08-13,HRR,Nick Sogard,686765,BOS,BOS@TOR,1.5,-0.38986,-0.38986,129,114,103.0,0
2026-08-13,HRR,Masataka Yoshida,807799,BOS,BOS@TOR,1.5,-0.39907,-0.39907,-140,115,285.0,0
2026-08-13,HRR,Tyler Stephenson,663886,CIN,CIN@CWS,1.5,-0.43402,-0.43402,110,116,325.0,0
2026-08-13,HRR,Andres Gimenez,665926,TOR,BOS@TOR,0.5,-0.43571,-0.43571,-156,117,395.0,0
2026-08-13,HRR,Nasim Nunez,683083,WSH,CHC@WSH,1.5,-0.48089,-0.48089,129,118,400.0,0
2026-08-13,HRR,Jakob Marsee,805300,MIA,PIT@MIA,1.5,-0.49607,-0.49607,130,119,459.0,0
2026-08-13,HRR,Justin Crawford,702222,PHI,PHI@MIN,0.5,-0.50632,-0.50632,-172,120,358.0,0
2026-08-13,HRR,Nicky Lopez,670032,TEX,TEX@LAA,0.5,-0.51051,-0.51051,-175,121,202.0,0
2026-08-13,HRR,Charles McAdoo,807727,TOR,BOS@TOR,1.5,-0.53724,-0.53724,133,122,37.0,0
2026-08-13,HRR,Cal Raleigh,663728,SEA,SEA@NYY,1.5,-0.56121,-0.56121,123,123,367.0,0
2026-08-13,HRR,Matt McLain,680574,CIN,CIN@CWS,0.5,-0.58937,-0.58937,-173,124,351.0,0
2026-08-13,HRR,Colt Emerson,806068,SEA,SEA@NYY,0.5,-0.61583,-0.61583,-136,125,241.0,0
2026-08-13,HRR,Hao-Yu Lee,701678,DET,CLE@DET,1.5,-0.74067,-0.74067,106,126,211.0,0
2026-08-13,HRR,Joey Ortiz,687401,MIL,MIL@LAD,0.5,-0.75024,-0.75024,-175,127,287.0,0
2026-08-13,HRR,David Hamilton,666152,MIL,MIL@LAD,0.5,-0.75558,-0.75558,-123,128,293.0,0
2026-08-13,HRR,Moises Ballesteros,694208,LAA,TEX@LAA,0.5,-0.76947,-0.76947,-160,129,175.0,0
2026-08-13,HRR,Brenton Doyle,686668,CWS,CIN@CWS,1.5,-0.78669,-0.78669,114,130,21.0,0
2026-08-13,HRR,Elias Diaz,553869,TEX,TEX@LAA,0.5,-0.84005,-0.84005,-160,131,131.0,0
