date,market,entity,player_id,team,game,line,price,proj,z,rank,PA,on_board
2026-08-14,TB,Wilyer Abreu,677800,BOS,BOS@PIT,1.5,165,0.41915,0.33463,1,513,Y
2026-08-14,TB,Abimelec Ortiz,694673,WSH,WSH@NYM,1.5,155,0.43464,1.83981,2,31,N
2026-08-14,TB,Willson Contreras,575929,BOS,BOS@PIT,1.5,160,0.41485,0.40368,3,456,Y
2026-08-14,TB,Michael Busch,683737,CHC,STL@CHC,1.5,163,0.40985,0.07714,4,544,Y
2026-08-14,TB,Alex Bregman,608324,CHC,STL@CHC,1.5,152,0.42499,0.21927,5,545,Y
2026-08-14,TB,CJ Abrams,682928,WSH,WSH@NYM,1.5,118,0.48302,0.83645,6,512,Y
2026-08-14,TB,Fernando Tatis Jr.,665487,SD,SD@CLE,1.5,140,0.43765,0.32178,7,528,Y
2026-08-14,TB,Yordan Alvarez,670541,HOU,SEA@HOU,1.5,-110,0.54781,1.71406,8,530,Y
2026-08-14,TB,Junior Caminero,691406,TB,BAL@TB,1.5,120,0.47511,0.75848,9,525,Y
2026-08-14,TB,Ketel Marte,606466,AZ,AZ@ATL,1.5,136,0.44282,0.32595,10,514,Y
2026-08-14,TB,Masataka Yoshida,807799,BOS,BOS@PIT,1.5,163,0.39735,0.19753,11,290,Y
2026-08-14,TB,Pete Crow-Armstrong,691718,CHC,STL@CHC,1.5,125,0.46408,0.532,12,542,Y
2026-08-14,TB,Jac Caglianone,695506,KC,KC@LAA,1.5,105,0.50922,0.79678,13,439,Y
2026-08-14,TB,Brandon Nimmo,607043,TEX,TEX@ATH,1.5,130,0.45077,0.81171,14,489,Y
2026-08-14,TB,Gabriel Moreno,672515,AZ,AZ@ATL,1.5,160,0.39833,0.13875,15,386,Y
2026-08-14,TB,Liam Hicks,689414,TB,BAL@TB,1.5,150,0.41254,1.41053,16,32,N
2026-08-14,TB,Bo Bichette,666182,NYM,WSH@NYM,1.5,140,0.42906,-0.05237,17,524,Y
2026-08-14,TB,Drake Baldwin,686948,ATL,AZ@ATL,1.5,110,0.4898,0.51584,18,436,Y
2026-08-14,TB,Seiya Suzuki,673548,CHC,STL@CHC,1.5,123,0.46106,0.38494,19,456,Y
2026-08-14,TB,Alec Burleson,676475,STL,STL@CHC,1.5,124,0.45899,0.77736,20,508,Y
2026-08-14,TB,Carson Kelly,608348,CHC,STL@CHC,1.5,163,0.3894,0.2047,21,321,Y
2026-08-14,TB,Matt Olson,621566,ATL,AZ@ATL,1.5,107,0.49432,0.61109,22,529,Y
2026-08-14,TB,Andrew Benintendi,643217,CWS,CWS@DET,1.5,195,0.34564,-0.27557,23,357,N
2026-08-14,TB,Pete Alonso,624413,BAL,BAL@TB,1.5,135,0.43295,0.63661,24,524,Y
2026-08-14,TB,JJ Wetherholt,802139,STL,STL@CHC,1.5,165,0.38293,0.20105,25,521,N
2026-08-14,TB,Elly De La Cruz,682829,CIN,MIA@CIN,1.5,118,0.4648,0.09716,26,453,N
2026-08-14,TB,Mike Trout,545361,LAA,KC@LAA,1.5,149,0.40616,0.57591,27,461,Y
2026-08-14,TB,Ozzie Albies,645277,ATL,AZ@ATL,1.5,147,0.40923,-0.13671,28,519,N
2026-08-14,TB,Tyler Soderstrom,691016,ATH,TEX@ATH,1.5,107,0.48805,0.64673,29,448,Y
2026-08-14,TB,Francisco Lindor,596019,NYM,WSH@NYM,1.5,128,0.44243,0.28089,30,283,N
2026-08-14,TB,Carter Jensen,695600,KC,KC@LAA,1.5,140,0.42013,0.13533,31,448,N
2026-08-14,TB,Michael Harris II,671739,ATL,AZ@ATL,1.5,106,0.4892,0.39277,32,461,N
2026-08-14,TB,Nico Hoerner,663538,CHC,STL@CHC,1.5,144,0.41281,0.09265,33,525,N
2026-08-14,TB,Ty France,664034,SD,SD@CLE,1.5,175,0.36626,0.35798,34,339,N
2026-08-14,TB,Jarren Duran,680776,BOS,BOS@PIT,1.5,185,0.35203,-0.14933,35,484,N
2026-08-14,TB,Chase DeLauter,800050,CLE,SD@CLE,1.5,145,0.40923,0.2152,36,443,N
2026-08-14,TB,Yandy Diaz,650490,TB,BAL@TB,1.5,130,0.43587,0.28024,37,510,N
2026-08-14,TB,Ben Rice,700250,NYY,NYY@TOR,1.5,115,0.46614,0.81896,38,496,Y
2026-08-14,TB,Dillon Dingler,693307,DET,CWS@DET,1.5,112,0.47268,0.26816,39,475,N
2026-08-14,TB,Daylen Lile,695734,WSH,WSH@NYM,1.5,125,0.44524,0.50191,40,500,Y
2026-08-14,TB,Shohei Ohtani,660271,LAD,MIL@LAD,1.5,105,0.48797,0.37027,41,513,N
2026-08-14,TB,Randy Arozarena,668227,SEA,SEA@HOU,1.5,145,0.40807,0.0245,42,487,N
2026-08-14,TB,Spencer Torkelson,679529,DET,CWS@DET,1.5,146,0.40596,-0.05137,43,476,N
2026-08-14,TB,Bryan Reynolds,668804,PIT,BOS@PIT,1.5,160,0.38308,0.05535,44,535,N
2026-08-14,TB,Adley Rutschman,668939,BOS,BOS@PIT,1.5,135,0.4238,0.25016,45,284,N
2026-08-14,TB,Christian Encarnacion-Strand,687952,BAL,BAL@TB,1.5,136,0.42195,0.88626,46,69,N
2026-08-14,TB,Nolan Schanuel,694384,LAA,KC@LAA,1.5,145,0.40608,0.405,47,426,N
2026-08-14,TB,Kevin McGonigle,805808,DET,CWS@DET,1.5,130,0.43191,0.03985,48,528,N
2026-08-14,TB,Tyler Stephenson,663886,CIN,MIA@CIN,1.5,155,0.38862,0.04835,49,330,N
2026-08-14,TB,Max Clark,703601,DET,CWS@DET,1.5,175,0.36034,-0.52422,50,54,N
2026-08-14,TB,Manny Machado,592518,SD,SD@CLE,1.5,178,0.35594,0.17177,51,505,N
2026-08-14,TB,Spencer Jones,682987,NYY,NYY@TOR,1.5,148,0.39887,0.04479,52,144,N
2026-08-14,TB,Dansby Swanson,621020,CHC,STL@CHC,1.5,171,0.36488,0.16789,53,455,N
2026-08-14,TB,Ronny Simon,682927,PIT,BOS@PIT,1.5,170,0.36617,-0.27257,54,26,N
2026-08-14,TB,Wade Meckler,685133,LAA,KC@LAA,1.5,148,0.39801,0.16183,55,206,N
2026-08-14,TB,Corbin Carroll,682998,AZ,AZ@ATL,1.5,143,0.40597,0.05292,56,512,N
2026-08-14,TB,Tommy Edman,669242,LAD,MIL@LAD,1.5,133,0.42334,-0.11708,57,170,N
2026-08-14,TB,Ezequiel Duran,677649,TEX,TEX@ATH,1.5,129,0.43048,0.43034,58,431,N
2026-08-14,TB,Michael Massey,686681,KC,KC@LAA,1.5,145,0.402,0.26638,59,333,N
2026-08-14,TB,Sam Antonacci,803011,CWS,CWS@DET,1.5,155,0.38618,-0.22255,60,400,N
2026-08-14,TB,Trent Grisham,663757,NYY,NYY@TOR,1.5,126,0.43524,0.48366,61,403,Y
2026-08-14,TB,Jake Burger,669394,TEX,TEX@ATH,1.5,120,0.44695,0.56804,62,464,Y
2026-08-14,TB,Jordan Walker,691023,STL,STL@CHC,1.5,145,0.4013,-0.01971,63,499,N
2026-08-14,TB,Munetaka Murakami,808959,CWS,CWS@DET,1.5,122,0.44284,0.25249,64,368,N
2026-08-14,TB,Heliot Ramos,671218,NYY,NYY@TOR,1.5,132,0.42363,0.45746,65,306,Y
2026-08-14,TB,Francisco Alvarez,682626,NYM,WSH@NYM,1.5,171,0.36232,0.18698,66,311,N
2026-08-14,TB,Osleivis Basabe,678545,SF,COL@SF,1.5,133,0.42134,0.36018,67,45,N
2026-08-14,TB,Gleyber Torres,650402,DET,CWS@DET,1.5,152,0.3895,-0.23995,68,284,N
2026-08-14,TB,Sal Stewart,701398,CIN,MIA@CIN,1.5,125,0.43562,0.06256,69,520,N
