date,market,entity,player_id,team,proj,z,price,rank,pa,on_board
2026-08-15,TB,Freddie Freeman,518692,LAD,12.23,1.09102,180,1,509,Y
2026-08-15,TB,Lars Nootbaar,663457,AZ,9.38,0.22382,165,2,183,Y
2026-08-15,TB,Ian Happ,664023,CHC,8.82,0.08713,168,3,504,Y
2026-08-15,TB,Blaze Jordan,691458,STL,8.29,0.13535,180,4,152,Y
2026-08-15,TB,Jordan Walker,691023,STL,8.24,0.50532,118,5,503,Y
2026-08-15,TB,JJ Bleday,668709,CIN,8.19,0.32769,125,6,390,Y
2026-08-15,TB,Kyle Schwarber,656941,PHI,7.79,0.29936,140,7,521,Y
2026-08-15,TB,Gabriel Moreno,672515,AZ,7.53,0.38571,138,8,391,Y
2026-08-15,TB,CJ Abrams,682928,WSH,7.24,0.29797,150,9,517,Y
2026-08-15,TB,Shohei Ohtani,660271,LAD,6.79,1.41345,128,10,517,Y
2026-08-15,TB,Nathan Lukes,664770,TOR,6.31,-0.05429,210,11,315,Y
2026-08-15,TB,Cole Carrigg,694249,COL,5.72,0.16422,160,12,209,Y
2026-08-15,TB,Jared Young,676724,NYM,5.3,0.17275,175,13,236,Y
2026-08-15,TB,Alec Burleson,676475,STL,4.76,0.58146,149,14,512,Y
2026-08-15,TB,William Contreras,661388,MIL,4.54,0.14734,138,15,489,Y
2026-08-15,TB,T.J. Rumfield,681198,COL,4.48,0.26087,175,16,479,Y
2026-08-15,TB,Bryan Reynolds,668804,PIT,4.36,0.36199,157,17,539,Y
2026-08-15,TB,Jac Caglianone,695506,KC,4.19,0.25524,148,18,443,Y
2026-08-15,TB,Tyler Stephenson,663886,CIN,3.96,0.3047,155,19,334,Y
2026-08-15,TB,Andres Chaparro,665953,WSH,3.68,0.4142,165,20,125,Y
2026-08-15,TB,Fernando Tatis Jr.,665487,SD,3.66,0.16227,130,21,533,
2026-08-15,TB,Jo Adell,666176,CLE,3.62,-0.03426,138,22,456,
2026-08-15,TB,JJ Wetherholt,802139,STL,3.55,0.30268,143,23,525,
2026-08-15,TB,Jake Mangum,663968,PIT,3.47,-0.19648,182,24,366,
2026-08-15,TB,Salvador Perez,521692,KC,3.28,0.04033,155,25,473,
2026-08-15,TB,Pete Crow-Armstrong,691718,CHC,3.2,0.60076,-110,26,546,Y
2026-08-15,TB,Griffin Conine,665052,MIA,3.2,0.77869,135,27,180,Y
2026-08-15,TB,Wilyer Abreu,677800,BOS,3.08,0.43196,135,28,517,
2026-08-15,TB,Andrew Vaughn,683734,MIL,2.99,0.37482,132,29,252,
2026-08-15,TB,Ozzie Albies,645277,ATL,2.07,0.06087,122,30,522,
2026-08-15,TB,Francisco Lindor,596019,NYM,2.01,0.25047,125,31,287,
2026-08-15,TB,Jonah Heim,641680,ATH,2.0,0.01637,138,32,45,
2026-08-15,TB,Jung Hoo Lee,808982,SF,1.95,-0.30883,116,33,455,
2026-08-15,TB,Eduardo Valencia,680664,DET,1.88,1.33453,138,34,50,
2026-08-15,TB,Drake Baldwin,686948,ATL,1.85,0.33056,120,35,440,
2026-08-15,TB,Kevin McGonigle,805808,DET,1.71,0.38492,163,36,532,
2026-08-15,TB,Bobby Witt Jr.,677951,KC,1.64,0.51245,115,37,458,Y
2026-08-15,TB,Ivan Herrera,671056,STL,1.56,0.22404,135,38,539,
2026-08-15,TB,Tyler Soderstrom,691016,ATH,1.38,-0.06724,143,39,453,
2026-08-15,TB,Zack Gelof,680869,ATH,1.33,0.09574,136,40,264,
2026-08-15,TB,Jakob Marsee,805300,MIA,1.25,-0.35771,138,41,467,
2026-08-15,TB,Masataka Yoshida,807799,BOS,1.18,0.26689,140,42,295,
2026-08-15,TB,Mickey Moniak,666160,COL,1.11,0.4005,155,43,315,
2026-08-15,TB,Geraldo Perdomo,672695,AZ,1.09,0.0762,150,44,512,
2026-08-15,TB,Carson Benge,701807,NYM,1.03,0.00751,155,45,484,
2026-08-15,TB,Dominic Canzone,686527,SEA,0.97,0.69811,135,46,362,Y
2026-08-15,TB,Michael Harris II,671739,ATL,0.96,0.31942,115,47,464,
2026-08-15,TB,Jackson Chourio,694192,MIL,0.73,0.30832,101,48,402,
2026-08-15,TB,Dillon Dingler,693307,DET,0.73,0.26918,130,49,480,
2026-08-15,TB,Yordan Alvarez,670541,HOU,0.7,1.19164,-105,50,535,Y
2026-08-15,TB,Pete Alonso,624413,BAL,0.68,0.51065,139,51,529,Y
2026-08-15,TB,Spencer Horwitz,687462,PIT,0.6,0.47321,148,52,335,
2026-08-15,TB,Corbin Carroll,682998,AZ,0.39,0.42212,112,53,517,
2026-08-15,TB,Xavier Edwards,669364,MIA,0.21,-0.23507,125,54,514,
2026-08-15,TB,Chase DeLauter,800050,CLE,0.21,0.29997,116,55,448,
2026-08-15,TB,Nolan Arenado,571448,AZ,0.14,-0.00154,160,56,451,
2026-08-15,TB,Byron Buxton,621439,MIN,0.1,0.52359,121,57,366,Y
2026-08-15,TB,Luis Garcia Jr.,671277,NYY,0.09,0.66521,127,58,374,Y
