date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts
2026-08-12,823672,BAL,MIN,ML,BAL,,,BAL,0.40125,-102,2026-08-12T13:35:00Z
2026-08-12,823017,PHI,STL,ML,PHI,,,PHI,1.07831,-158,2026-08-12T13:35:00Z
2026-08-12,824967,TB,ATH,ML,TB,,,TB,0.88255,-194,2026-08-12T13:35:00Z
2026-08-12,825047,COL,AZ,ML,COL,,,COL,0.12157,158,2026-08-12T13:35:00Z
2026-08-12,823187,HOU,SF,ML,HOU,,,HOU,0.59026,-137,2026-08-12T13:35:00Z
2026-08-12,822779,BOS,TOR,ML,BOS,,,BOS,0.99666,-126,2026-08-12T13:35:00Z
2026-08-12,823672,BAL,MIN,TOTAL,BAL@MIN,,9.0,Under,7.83225,,2026-08-12T13:35:00Z
2026-08-12,823511,SEA,NYY,TOTAL,SEA@NYY,,8.5,Under,7.64405,,2026-08-12T13:35:00Z
2026-08-12,823994,TEX,LAA,TOTAL,TEX@LAA,,9.0,Under,8.14921,,2026-08-12T13:35:00Z
2026-08-12,823672,BAL,MIN,TT,MIN,,4.5,Over,0.02866,120,2026-08-12T13:35:00Z
2026-08-12,823672,BAL,MIN,TT,BAL,,4.5,Over,0.00276,104,2026-08-12T13:35:00Z
2026-08-12,823017,PHI,STL,TT,STL,,3.5,Under,-0.14798,-135,2026-08-12T13:35:00Z
2026-08-12,823017,PHI,STL,TT,PHI,,4.5,Over,0.72785,-102,2026-08-12T13:35:00Z
2026-08-12,824967,TB,ATH,TT,ATH,,3.5,Under,-0.47152,-110,2026-08-12T13:35:00Z
2026-08-12,824967,TB,ATH,TT,TB,,5.5,Over,1.30961,-108,2026-08-12T13:35:00Z
2026-08-12,825047,COL,AZ,TT,AZ,,5.5,Over,0.48791,110,2026-08-12T13:35:00Z
2026-08-12,825047,COL,AZ,TT,COL,,3.5,Over,0.97839,-138,2026-08-12T13:35:00Z
2026-08-12,823187,HOU,SF,TT,SF,,3.5,Over,0.1694,-110,2026-08-12T13:35:00Z
2026-08-12,823187,HOU,SF,TT,HOU,,4.5,Over,0.39912,-104,2026-08-12T13:35:00Z
2026-08-12,823263,MIL,SD,TT,SD,,3.5,Under,-0.41092,100,2026-08-12T13:35:00Z
2026-08-12,823263,MIL,SD,TT,MIL,,4.5,Under,-0.39561,-139,2026-08-12T13:35:00Z
2026-08-12,824241,CLE,DET,TT,DET,,3.5,Over,0.94956,-140,2026-08-12T13:35:00Z
2026-08-12,824241,CLE,DET,TT,CLE,,3.5,Under,-0.44292,102,2026-08-12T13:35:00Z
2026-08-12,823833,PIT,MIA,TT,MIA,,3.5,Under,-0.11131,114,2026-08-12T13:35:00Z
2026-08-12,823833,PIT,MIA,TT,PIT,,3.5,Over,0.10654,-137,2026-08-12T13:35:00Z
2026-08-12,822698,CHC,WSH,TT,WSH,,3.5,Over,0.79067,-141,2026-08-12T13:35:00Z
2026-08-12,822698,CHC,WSH,TT,CHC,,5.5,Over,0.51713,108,2026-08-12T13:35:00Z
2026-08-12,823511,SEA,NYY,TT,NYY,,4.5,Over,0.38544,105,2026-08-12T13:35:00Z
2026-08-12,823511,SEA,NYY,TT,SEA,,4.5,Over,0.32423,116,2026-08-12T13:35:00Z
2026-08-12,822779,BOS,TOR,TT,TOR,,3.5,Under,-1.07611,-130,2026-08-12T13:35:00Z
2026-08-12,822779,BOS,TOR,TT,BOS,,3.5,Under,-0.01391,102,2026-08-12T13:35:00Z
2026-08-12,824883,NYM,ATL,TT,ATL,,4.5,Under,-0.49923,-110,2026-08-12T13:35:00Z
2026-08-12,824883,NYM,ATL,TT,NYM,,3.5,Under,-0.24136,100,2026-08-12T13:35:00Z
2026-08-12,824562,CIN,CWS,TT,CWS,,4.5,Over,0.60066,100,2026-08-12T13:35:00Z
2026-08-12,824562,CIN,CWS,TT,CIN,,3.5,Under,-0.23179,115,2026-08-12T13:35:00Z
2026-08-12,823916,KC,LAD,TT,LAD,,5.5,Under,-0.34326,-133,2026-08-12T13:35:00Z
