date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev
2026-08-19,823342,DET,PIT,ML,PIT,,,PIT,0.491,-155,2026-08-19T13:40:00Z,,
2026-08-19,823342,DET,PIT,TOTAL,DET@PIT,,7.5,Over,8.025,-130,2026-08-19T13:40:00Z,,
2026-08-19,823587,SD,NYM,ML,SD,,,SD,0.554,-138,2026-08-19T13:40:00Z,,
2026-08-19,823587,SD,NYM,TOTAL,SD@NYM,,8.5,Under,8.256,-105,2026-08-19T13:40:00Z,,
2026-08-19,823664,ATL,MIN,ML,MIN,,,MIN,0.064,-102,2026-08-19T13:40:00Z,,
2026-08-19,823664,ATL,MIN,TOTAL,ATL@MIN,,8.5,Over,8.602,-115,2026-08-19T13:40:00Z,,
2026-08-19,824640,CWS,CHC,ML,CHC,,,CHC,0.692,-141,2026-08-19T13:40:00Z,,
2026-08-19,824640,CWS,CHC,TOTAL,CWS@CHC,,7.5,Over,8.175,-125,2026-08-19T13:40:00Z,,
2026-08-19,824722,AZ,BOS,ML,BOS,,,BOS,0.335,-164,2026-08-19T13:40:00Z,,
2026-08-19,824722,AZ,BOS,TOTAL,AZ@BOS,,8.5,Under,7.056,-130,2026-08-19T13:40:00Z,,
2026-08-19,823424,MIA,PHI,ML,MIA,,,MIA,0.153,111,2026-08-19T13:40:00Z,,
2026-08-19,823424,MIA,PHI,TOTAL,MIA@PHI,,8.5,Under,8.035,-110,2026-08-19T13:40:00Z,,
2026-08-19,824801,NYY,BAL,ML,NYY,,,NYY,0.105,-120,2026-08-19T13:40:00Z,,
2026-08-19,824801,NYY,BAL,TOTAL,NYY@BAL,,9.5,Under,8.371,-125,2026-08-19T13:40:00Z,,
2026-08-19,824394,SF,CLE,ML,CLE,,,CLE,1.198,-210,2026-08-19T13:40:00Z,,
2026-08-19,824394,SF,CLE,TOTAL,SF@CLE,,7.5,Over,7.568,-104,2026-08-19T13:40:00Z,,
2026-08-19,824476,STL,CIN,ML,CIN,,,CIN,0.543,-150,2026-08-19T13:40:00Z,,
2026-08-19,824476,STL,CIN,TOTAL,STL@CIN,,8.5,Under,8.072,-115,2026-08-19T13:40:00Z,,
2026-08-19,822937,TOR,TB,ML,TB,,,TB,1.364,-200,2026-08-19T13:40:00Z,,
