market,name,team,opp,slot,src,line,p_model,p_mkt,edge,best_price,book,nbooks,date,actual,settle,units
TB,Jung Hoo Lee,SF,COL,1,Expected Lineup,1.5,0.5284,0.4528793095738496,0.0755206904261503,115,betmgm,4,2026-08-16,1,L,-1.0
TB,Trevor Larnach,MIN,PHI,1,statsapi,1.5,0.4733,0.4057246376811594,0.0675753623188405,141,williamhill_us,4,2026-08-16,1,L,-1.0
TB,Kyle Schwarber,PHI,MIN,1,statsapi,1.5,0.4953,0.4462029993479678,0.0490970006520322,119,draftkings,4,2026-08-16,2,W,1.19
TB,TJ Rumfield,COL,SF,3,Expected Lineup,1.5,0.4388,0.3984393438030709,0.0403606561969291,145,betrivers,4,2026-08-16,,V,0.0
HRR,Trevor Larnach,MIN,PHI,1,statsapi,1.5,0.6411,0.4992307692307692,0.1418692307692307,100,betmgm,3,2026-08-16,1,L,-1.0
HRR,CJ Abrams,WSH,NYM,1,statsapi,1.5,0.623,0.5038095238095238,0.1191904761904761,-107,draftkings,3,2026-08-16,0,L,-1.0
HRR,Abimelec Ortiz,WSH,NYM,2,statsapi,1.5,0.5642,0.4451162790697674,0.1190837209302326,115,williamhill_us,3,2026-08-16,3,W,1.15
HRR,Jordan Walker,STL,CHC,4,Expected Lineup,1.5,0.6292,0.5105164319248826,0.1186835680751173,-105,betmgm,3,2026-08-16,8,W,0.9524
HRR,Joshua Báez,STL,CHC,7,Expected Lineup,1.5,0.5518,0.4408294930875576,0.1109705069124423,118,draftkings,3,2026-08-16,0,L,-1.0
HRR,Brandon Lowe,PIT,BOS,6,Expected Lineup,1.5,0.5695,0.4607692307692307,0.1087307692307692,115,draftkings,3,2026-08-16,5,W,1.15
HRR,Jackson Holliday,BAL,TB,1,statsapi,1.5,0.5425,0.43662100456621,0.1058789954337899,132,draftkings,3,2026-08-16,7,W,1.32
HRR,Rafael Flores Jr.,PIT,BOS,7,Expected Lineup,1.5,0.5225,0.4178065603923973,0.1046934396076026,133,draftkings,2,2026-08-16,2,W,1.33
