market,name,team,opp,slot,src,line,p_model,p_mkt,edge,best_price,book,nbooks,date,player_id,game_pk,on_board,actual,settle,units
TB,Trent Grisham,NYY,BAL,1,statsapi,1.5,0.4418,0.4472897196261682,-0.005475496534283419,120,betmgm,9,2026-08-18,663757,824803,False,5,W,1.2
HRR,Trent Grisham,NYY,BAL,1,statsapi,1.5,0.5681,0.5305050505050505,0.03756410733911242,-118,betmgm,4,2026-08-18,663757,824803,False,6,W,0.8475
TB,Ben Rice,NYY,BAL,2,statsapi,1.5,0.4784,0.44296296296296295,0.035471135918866414,120,fanduel,9,2026-08-18,700250,824803,False,0,L,-1.0
HRR,Ben Rice,NYY,BAL,2,statsapi,1.5,0.6158,0.5335714285714286,0.08222509654540988,-124,williamhill_us,3,2026-08-18,700250,824803,False,0,L,-1.0
TB,Heliot Ramos,NYY,BAL,3,statsapi,1.5,0.4085,0.46780487804878046,-0.0592609495330112,130,betmgm,9,2026-08-18,671218,824803,False,0,L,-1.0
HRR,Heliot Ramos,NYY,BAL,3,statsapi,1.5,0.5146,0.5355555555555556,-0.020951178360536837,-120,betmgm,3,2026-08-18,671218,824803,False,0,L,-1.0
TB,Luis García Jr.,NYY,BAL,4,statsapi,1.5,0.5365,0.4451162790697674,0.09139155735650656,123,betrivers,9,2026-08-18,671277,824803,True,0,L,-1.0
HRR,Luis García Jr.,NYY,BAL,4,statsapi,1.5,0.6568,0.5355555555555556,0.1212795716942,-119,draftkings,3,2026-08-18,671277,824803,True,0,L,-1.0
TB,Spencer Jones,NYY,BAL,5,statsapi,1.5,0.3894,0.32364666981577705,0.06572414785150632,205,betrivers,6,2026-08-18,682987,824803,False,1,L,-1.0
HRR,Spencer Jones,NYY,BAL,5,statsapi,1.5,0.4977,0.4264374688589935,0.07128274129734485,125,betmgm,2,2026-08-18,682987,824803,False,2,W,1.25
TB,Jazz Chisholm Jr.,NYY,BAL,6,statsapi,1.5,0.3517,0.3955172413793103,-0.043856442450351585,158,draftkings,6,2026-08-18,665862,824803,False,0,L,-1.0
HRR,Jazz Chisholm Jr.,NYY,BAL,6,statsapi,1.5,0.4857,0.45619047619047615,0.02951420228374868,125,betmgm,3,2026-08-18,665862,824803,False,0,L,-1.0
TB,George Lombard Jr.,NYY,BAL,7,statsapi,1.5,0.3418,0.372156862745098,-0.030370633724143004,165,betmgm,8,2026-08-18,806146,824803,False,2,W,1.65
HRR,George Lombard Jr.,NYY,BAL,7,statsapi,1.5,0.4743,0.47261083743842364,0.0016397956522501422,110,betmgm,3,2026-08-18,806146,824803,False,3,W,1.1
TB,Ryan McMahon,NYY,BAL,8,statsapi,1.5,0.3422,0.32493012191495685,0.017272779740581223,210,fanatics,6,2026-08-18,641857,824803,False,0,L,-1.0
HRR,Ryan McMahon,NYY,BAL,8,statsapi,0.5,0.6765,0.6026415094339622,0.07387600608088019,-160,draftkings,3,2026-08-18,641857,824803,False,0,L,-1.0
TB,Austin Wells,NYY,BAL,9,statsapi,1.5,0.2575,0.30590233545647555,-0.04836922731029447,220,betrivers,6,2026-08-18,669224,824803,False,0,L,-1.0
HRR,Austin Wells,NYY,BAL,9,statsapi,0.5,0.6154,0.5878431372549019,0.027603123598830437,-142,draftkings,3,2026-08-18,669224,824803,False,0,L,-1.0
TB,Jackson Holliday,BAL,NYY,1,statsapi,1.5,0.3452,0.3737984496124031,-0.02856687073145492,165,fanatics,6,2026-08-18,702616,824803,False,0,L,-1.0
HRR,Jackson Holliday,BAL,NYY,1,statsapi,1.5,0.4942,0.48248756218905475,0.011750321473350978,105,betmgm,3,2026-08-18,702616,824803,False,0,L,-1.0
TB,Pete Alonso,BAL,NYY,2,statsapi,1.5,0.3643,0.4345454545454545,-0.07020652725415627,130,fanatics,9,2026-08-18,624413,824803,False,1,L,-1.0
HRR,Pete Alonso,BAL,NYY,2,statsapi,1.5,0.527,0.5191705069124424,0.007859695275362122,-111,draftkings,3,2026-08-18,624413,824803,False,1,L,-1.0
TB,Tyler O'Neill,BAL,NYY,3,statsapi,1.5,0.314,0.3883333333333333,-0.07430560092684091,170,fanatics,6,2026-08-18,641933,824803,False,0,L,-1.0
HRR,Tyler O'Neill,BAL,NYY,3,statsapi,1.5,0.4435,0.4630917874396135,-0.019563143770266134,117,draftkings,3,2026-08-18,641933,824803,False,0,L,-1.0
TB,Coby Mayo,BAL,NYY,4,statsapi,1.5,0.3404,0.37392059553349877,-0.033483665336717316,175,fanatics,6,2026-08-18,691723,824803,False,4,W,1.75
HRR,Coby Mayo,BAL,NYY,4,statsapi,1.5,0.4566,0.4472897196261682,0.009283497831021947,116,draftkings,3,2026-08-18,691723,824803,False,3,W,1.16
TB,Gunnar Henderson,BAL,NYY,5,statsapi,1.5,0.3274,0.40019774011299436,-0.07277572142825373,150,betmgm,8,2026-08-18,683002,824803,False,0,L,-1.0
HRR,Gunnar Henderson,BAL,NYY,5,statsapi,1.5,0.4339,0.48495049504950494,-0.05105491570815113,100,betmgm,3,2026-08-18,683002,824803,False,0,L,-1.0
TB,Christian Encarnacion-Strand,BAL,NYY,6,statsapi,1.5,0.3286,0.38,-0.051370011985796826,162,draftkings,6,2026-08-18,687952,824803,False,0,L,-1.0
