market,name,team,opp,slot,src,line,p_model,p_mkt,edge,best_price,book,nbooks,date,player_id,game_pk,on_board
TB,Colt Keith,DET,PIT,1,statsapi,1.5,0.4337,0.39666666666666667,0.03701109975951805,154,draftkings,8,2026-08-19,690993,823342,False
HRR,Colt Keith,DET,PIT,1,statsapi,1.5,0.5433,0.46780487804878046,0.07548809300154202,105,draftkings,3,2026-08-19,690993,823342,False
TB,Gleyber Torres,DET,PIT,2,statsapi,1.5,0.3817,0.35735849056603775,0.024311694397867734,170,fanatics,6,2026-08-19,650402,823342,False
HRR,Gleyber Torres,DET,PIT,2,statsapi,1.5,0.5626,0.46780487804878046,0.09481274055737776,105,williamhill_us,3,2026-08-19,650402,823342,False
TB,Kevin McGonigle,DET,PIT,3,statsapi,1.5,0.397,0.41859649122807013,-0.021635007504564152,140,fanatics,9,2026-08-19,805808,823342,False
HRR,Kevin McGonigle,DET,PIT,3,statsapi,1.5,0.5449,0.5148837209302325,0.030012624133320842,-107,draftkings,3,2026-08-19,805808,823342,False
TB,Dillon Dingler,DET,PIT,4,statsapi,1.5,0.4332,0.405531914893617,0.027661363349763102,141,draftkings,9,2026-08-19,693307,823342,False
HRR,Dillon Dingler,DET,PIT,4,statsapi,1.5,0.5673,0.5015311004784688,0.06576365031480946,-102,draftkings,3,2026-08-19,693307,823342,False
TB,Brett Callahan,DET,PIT,5,statsapi,1.5,0.3876,0.3254241737262856,0.062133621160302965,195,betrivers,6,2026-08-19,814430,823342,False
HRR,Brett Callahan,DET,PIT,5,statsapi,1.5,0.5062,0.4244444444444444,0.08175784573111877,130,draftkings,3,2026-08-19,814430,823342,False
TB,Zach McKinstry,DET,PIT,6,statsapi,1.5,0.322,0.3456417112299465,-0.023667556600052597,188,betrivers,6,2026-08-19,656716,823342,False
HRR,Zach McKinstry,DET,PIT,6,statsapi,1.5,0.3994,0.4324886877828054,-0.03304376266899284,126,draftkings,3,2026-08-19,656716,823342,False
TB,Spencer Torkelson,DET,PIT,7,statsapi,1.5,0.3267,0.3309852216748769,-0.004313022540647915,210,fanatics,6,2026-08-19,679529,823342,False
HRR,Spencer Torkelson,DET,PIT,7,statsapi,0.5,0.6593,0.5990351793800069,0.06026735888104584,-161,draftkings,2,2026-08-19,679529,823342,False
TB,Max Clark,DET,PIT,8,statsapi,1.5,0.3194,0.33401002506265665,-0.01463671473358713,188,betrivers,6,2026-08-19,703601,823342,False
HRR,Max Clark,DET,PIT,8,statsapi,1.5,0.4271,0.4284304932735426,-0.00131547577929636,125,draftkings,3,2026-08-19,703601,823342,False
TB,Hao-Yu Lee,DET,PIT,9,statsapi,1.5,0.3294,0.3189830508474576,0.010418521628409949,210,betmgm,6,2026-08-19,701678,823342,False
HRR,Hao-Yu Lee,DET,PIT,9,statsapi,0.5,0.6797,0.5908949416342413,0.08881530228816847,-150,betmgm,3,2026-08-19,701678,823342,False
TB,Spencer Horwitz,PIT,DET,1,statsapi,1.5,0.3942,0.4345454545454545,-0.040392563431346507,129,draftkings,9,2026-08-19,687462,823342,False
HRR,Spencer Horwitz,PIT,DET,1,statsapi,1.5,0.5528,0.5355555555555556,0.017223245421038036,-120,betmgm,3,2026-08-19,687462,823342,False
TB,Brandon Lowe,PIT,DET,2,statsapi,1.5,0.4455,0.4472897196261682,-0.0018201177723219386,120,fanatics,9,2026-08-19,664040,823342,False
HRR,Brandon Lowe,PIT,DET,2,statsapi,1.5,0.5881,0.5335714285714286,0.05448407370830477,-124,draftkings,3,2026-08-19,664040,823342,False
TB,Bryan Reynolds,PIT,DET,3,statsapi,1.5,0.3904,0.40918454935622317,-0.018811352498879108,145,fanatics,9,2026-08-19,668804,823342,False
HRR,Bryan Reynolds,PIT,DET,3,statsapi,1.5,0.5524,0.5212844036697247,0.03113457340760384,-107,draftkings,3,2026-08-19,668804,823342,False
TB,Esmerlyn Valdez,PIT,DET,4,statsapi,1.5,0.4079,0.38,0.027915268672866422,165,fanatics,6,2026-08-19,699013,823342,False
HRR,Esmerlyn Valdez,PIT,DET,4,statsapi,1.5,0.5501,0.47751243781094527,0.07258059518435472,104,draftkings,3,2026-08-19,699013,823342,False
TB,Oneil Cruz,PIT,DET,5,statsapi,1.5,0.3819,0.42176316045538575,-0.039844710463605215,140,fanatics,6,2026-08-19,665833,823342,False
HRR,Oneil Cruz,PIT,DET,5,statsapi,1.5,0.5572,0.4957129455909943,0.061519950674999935,-101,draftkings,4,2026-08-19,665833,823342,False
TB,Nick Gonzales,PIT,DET,6,statsapi,1.5,0.3901,0.40016806722689074,-0.010032775983595255,147,draftkings,9,2026-08-19,693304,823342,False
HRR,Nick Gonzales,PIT,DET,6,statsapi,1.5,0.5663,0.5212844036697247,0.045019170107101214,-117,draftkings,3,2026-08-19,693304,823342,False
TB,Jacob Gonzalez,PIT,DET,7,statsapi,1.5,0.3239,0.35594516288601513,-0.03201223596395136,180,fanatics,6,2026-08-19,694378,823342,False
HRR,Jacob Gonzalez,PIT,DET,7,statsapi,1.5,0.4699,0.44948356807511736,0.020390672020174416,115,betmgm,3,2026-08-19,694378,823342,False
TB,Jared Triolo,PIT,DET,8,statsapi,1.5,0.2765,0.3079569892473118,-0.0314152814759065,243,draftkings,6,2026-08-19,669707,823342,False
