date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,actual,err,settle,units
2026-08-10,822780,BOS,TOR,ML,BOS,,,BOS,1.19,-162,2026-08-10T20:08:03+00:00,-1,-2.19,L,-1.0
2026-08-10,824887,NYM,ATL,ML,NYM,,,NYM,0.32,135,2026-08-10T20:08:03+00:00,3,2.68,W,1.35
2026-08-10,823675,BAL,MIN,ML,BAL,,,BAL,0.92,-112,2026-08-10T20:08:03+00:00,-4,-4.92,L,-1.0
2026-08-10,823018,PHI,STL,ML,PHI,,,PHI,0.47,100,2026-08-10T20:08:03+00:00,1,0.53,W,1.0
2026-08-10,823998,TEX,LAA,ML,TEX,,,TEX,0.16,-114,2026-08-10T20:08:03+00:00,3,2.84,W,0.8772
2026-08-10,825048,COL,ARI,ML,COL,,,COL,0.64,162,2026-08-10T20:08:03+00:00,-9,-9.64,L,-1.0
2026-08-10,824969,TB,ATH,ML,ATH,,,ATH,0.26,140,2026-08-10T20:08:03+00:00,-4,-4.26,L,-1.0
2026-08-10,823265,MIL,SD,ML,MIL,,,MIL,0.03,-110,2026-08-10T20:08:03+00:00,-1,-1.03,L,-1.0
2026-08-10,823189,HOU,SF,ML,HOU,,,HOU,0.24,-145,2026-08-10T20:08:03+00:00,3,2.76,W,0.6897
2026-08-10,823918,KC,LAD,ML,LAD,,,LAD,1.35,-300,2026-08-10T20:08:03+00:00,1,-0.35,W,0.3333
2026-08-10,822780,BOS,TOR,TOTAL,GAME,,8.5,U,8.35,-115,2026-08-10T20:08:03+00:00,3,-5.35,W,0.8696
2026-08-10,824887,NYM,ATL,TOTAL,GAME,,8.5,U,7.95,-110,2026-08-10T20:08:03+00:00,13,5.05,L,-1.0
2026-08-10,823675,BAL,MIN,TOTAL,GAME,,8.5,U,7.77,-110,2026-08-10T20:08:03+00:00,14,6.23,L,-1.0
2026-08-10,823018,PHI,STL,TOTAL,GAME,,9.5,U,8.17,-142,2026-08-10T20:08:03+00:00,11,2.83,L,-1.0
2026-08-10,823998,TEX,LAA,TOTAL,GAME,,8.5,U,7.09,-125,2026-08-10T20:08:03+00:00,5,-2.09,W,0.8
2026-08-10,825048,COL,ARI,TOTAL,GAME,,8.5,U,8.11,100,2026-08-10T20:08:03+00:00,9,0.89,L,-1.0
2026-08-10,824969,TB,ATH,TOTAL,GAME,,10.5,U,8.91,-128,2026-08-10T20:08:03+00:00,16,7.09,L,-1.0
2026-08-10,823265,MIL,SD,TOTAL,GAME,,7.5,U,7.47,-115,2026-08-10T20:08:03+00:00,5,-2.47,W,0.8696
2026-08-10,823189,HOU,SF,TOTAL,GAME,,8.5,U,8.5,-108,2026-08-10T20:08:03+00:00,9,0.5,L,-1.0
2026-08-10,823918,KC,LAD,TOTAL,GAME,,7.5,U,7.37,-115,2026-08-10T20:08:03+00:00,11,3.63,L,-1.0
2026-08-10,822780,BOS,TOR,TT,BOS,,4.5,O,0.909,-113,2026-08-10T20:08:03+00:00,1,0.091,L,-1.0
2026-08-10,822780,BOS,TOR,TT,TOR,,3.5,U,-0.462,-125,2026-08-10T20:08:03+00:00,2,2.462,W,0.8
2026-08-10,824887,NYM,ATL,TT,NYM,,3.5,U,-0.101,100,2026-08-10T20:08:03+00:00,8,8.101,L,-1.0
2026-08-10,824887,NYM,ATL,TT,ATL,,4.5,U,-0.121,-129,2026-08-10T20:08:03+00:00,5,5.121,L,-1.0
2026-08-10,823675,BAL,MIN,TT,BAL,,4.5,O,0.29,117,2026-08-10T20:08:03+00:00,5,4.71,W,1.17
2026-08-10,823675,BAL,MIN,TT,MIN,,3.5,O,0.579,-124,2026-08-10T20:08:03+00:00,9,8.421,W,0.8065
2026-08-10,823018,PHI,STL,TT,PHI,,4.5,O,0.828,-104,2026-08-10T20:08:03+00:00,6,5.172,W,0.9615
2026-08-10,823018,PHI,STL,TT,STL,,4.5,O,0.865,106,2026-08-10T20:08:03+00:00,5,4.135,W,1.06
2026-08-10,823998,TEX,LAA,TT,TEX,,4.5,O,0.227,-140,2026-08-11T01:16:55+00:00,4,3.773,L,-1.0
2026-08-10,823998,TEX,LAA,TT,LAA,,3.5,U,-0.175,-102,2026-08-11T01:16:55+00:00,1,1.175,W,0.9804
2026-08-10,825048,COL,ARI,TT,COL,,3.5,O,0.79,-113,2026-08-11T01:16:55+00:00,0,-0.79,L,-1.0
2026-08-10,825048,COL,ARI,TT,ARI,,4.5,U,-0.279,-105,2026-08-11T01:16:55+00:00,9,9.279,L,-1.0
2026-08-10,824969,TB,ATH,TT,TB,,5.5,O,0.8,-105,2026-08-11T01:16:55+00:00,10,9.2,W,0.9524
2026-08-10,824969,TB,ATH,TT,ATH,,4.5,O,0.744,110,2026-08-11T01:16:55+00:00,6,5.256,W,1.1
2026-08-10,823265,MIL,SD,TT,MIL,,3.5,O,0.051,-115,2026-08-11T01:16:55+00:00,2,1.949,L,-1.0
2026-08-10,823265,MIL,SD,TT,SD,,3.5,U,-0.634,-118,2026-08-11T01:16:55+00:00,3,3.634,W,0.8475
2026-08-10,823189,HOU,SF,TT,HOU,,4.5,U,-0.34,-107,2026-08-11T01:16:55+00:00,6,6.34,L,-1.0
2026-08-10,823189,HOU,SF,TT,SF,,3.5,U,-0.519,-112,2026-08-11T01:16:55+00:00,3,3.519,W,0.8929
2026-08-10,823918,KC,LAD,TT,KC,,2.5,U,-0.524,-114,2026-08-11T01:16:55+00:00,5,5.524,L,-1.0
2026-08-10,823918,KC,LAD,TT,LAD,,4.5,O,0.706,-113,2026-08-11T01:16:55+00:00,6,5.294,W,0.885
2026-08-10,823675,BAL,MIN,TB,Ryan Jeffers (MIN),680777,1.5,O,0.449,155,2026-08-10T20:08:03+00:00,3,2.551,W,1.55
2026-08-10,824887,NYM,ATL,TB,Michael Harris II (ATL),671739,1.5,O,0.471,140,2026-08-10T20:08:03+00:00,3,2.529,W,1.4
2026-08-10,823675,BAL,MIN,TB,Austin Martin (MIN),668885,1.5,O,0.381,195,2026-08-10T20:08:03+00:00,8,7.619,W,1.95
2026-08-10,823675,BAL,MIN,TB,Jackson Holliday (BAL),702616,1.5,O,0.398,180,2026-08-10T20:08:03+00:00,2,1.602,W,1.8
2026-08-10,823675,BAL,MIN,TB,Luke Keaschall (MIN),807712,1.5,O,0.369,195,2026-08-10T20:08:03+00:00,1,0.631,L,-1.0
2026-08-10,823675,BAL,MIN,TB,Tyler O'Neill (BAL),641933,1.5,O,0.402,170,2026-08-10T20:08:03+00:00,0,-0.402,L,-1.0
2026-08-10,823675,BAL,MIN,TB,Dylan Beavers (BAL),687637,1.5,O,0.358,200,2026-08-10T20:08:03+00:00,0,-0.358,L,-1.0
2026-08-10,824887,NYM,ATL,TB,Matt Olson (ATL),621566,1.5,O,0.457,133,2026-08-10T20:08:03+00:00,1,0.543,L,-1.0
2026-08-10,824887,NYM,ATL,TB,A.J. Ewing (NYM),805999,1.5,O,0.415,155,2026-08-10T20:08:03+00:00,2,1.585,W,1.55
2026-08-10,823018,PHI,STL,TB,Alec Burleson (STL),676475,1.5,O,0.502,111,2026-08-10T20:08:03+00:00,3,2.498,W,1.11
2026-08-10,823998,TEX,LAA,TB,Vaughn Grissom (LAA),687093,1.5,O,0.385,175,2026-08-10T20:08:03+00:00,2,1.615,W,1.75
2026-08-10,823018,PHI,STL,TB,Kyle Schwarber (PHI),656941,1.5,O,0.491,115,2026-08-10T20:08:03+00:00,3,2.509,W,1.15
2026-08-10,823189,HOU,SF,TB,Taylor Trammell (HOU),666211,1.5,O,0.339,210,2026-08-10T20:08:03+00:00,0,-0.339,L,-1.0
2026-08-10,824887,NYM,ATL,TB,Ronald Acuña Jr. (ATL),660670,1.5,O,0.441,138,2026-08-10T20:08:03+00:00,1,0.559,L,-1.0
2026-08-10,823018,PHI,STL,TB,Justin Crawford (PHI),702222,1.5,O,0.38,175,2026-08-10T20:08:03+00:00,2,1.62,W,1.75
2026-08-10,823018,PHI,STL,TB,Bryce Harper (PHI),547180,1.5,O,0.478,118,2026-08-10T20:08:03+00:00,0,-0.478,L,-1.0
2026-08-10,824887,NYM,ATL,TB,Jared Young (NYM),676724,1.5,O,0.347,200,2026-08-10T20:08:03+00:00,2,1.653,W,2.0
2026-08-10,823918,KC,LAD,TB,Freddie Freeman (LAD),518692,1.5,O,0.466,123,2026-08-10T20:08:03+00:00,3,2.534,W,1.23
2026-08-10,823189,HOU,SF,TB,Yordan Alvarez (HOU),670541,1.5,O,0.533,-105,2026-08-10T20:08:03+00:00,3,2.467,W,0.9524
2026-08-10,823018,PHI,STL,TB,Luis Arraez (PHI),650333,1.5,O,0.482,115,2026-08-10T20:08:03+00:00,0,-0.482,L,-1.0
2026-08-10,823189,HOU,SF,HRR,Yordan Alvarez (HOU),670541,2.5,O,2.138,115,2026-08-10T20:08:03+00:00,0,-2.138,L,-1.0
2026-08-10,824887,NYM,ATL,HRR,Matt Olson (ATL),621566,1.5,O,1.746,-118,2026-08-10T20:08:03+00:00,0,-1.746,L,-1.0
2026-08-10,823018,PHI,STL,HRR,Jordan Walker (STL),691023,1.5,O,1.712,-143,2026-08-10T20:08:03+00:00,0,-1.712,L,-1.0
2026-08-10,823265,MIL,SD,HRR,Brice Turang (MIL),668930,1.5,O,1.678,104,2026-08-10T20:08:03+00:00,0,-1.678,L,-1.0
2026-08-10,823918,KC,LAD,HRR,Shohei Ohtani (LAD),660271,2.5,O,1.665,115,2026-08-10T20:08:03+00:00,0,-1.665,L,-1.0
2026-08-10,823918,KC,LAD,HRR,Andy Pages (LAD),681624,1.5,O,1.61,-139,2026-08-10T20:08:03+00:00,0,-1.61,L,-1.0
2026-08-10,823018,PHI,STL,HRR,Alec Burleson (STL),676475,1.5,O,1.584,-142,2026-08-10T20:08:03+00:00,0,-1.584,L,-1.0
2026-08-10,824969,TB,ATH,HRR,Junior Caminero (TB),691406,2.5,O,1.556,-105,2026-08-10T20:08:03+00:00,1,-0.556,L,-1.0
2026-08-10,823675,BAL,MIN,HRR,Pete Alonso (BAL),624413,1.5,O,1.53,-135,2026-08-10T20:08:03+00:00,0,-1.53,L,-1.0
2026-08-10,824969,TB,ATH,HRR,Yandy Diaz (TB),650490,2.5,O,1.514,-110,2026-08-10T20:08:03+00:00,1,-0.514,L,-1.0
2026-08-10,824969,TB,ATH,HRR,Jonathan Aranda (TB),666018,1.5,O,1.395,-162,2026-08-10T20:08:03+00:00,0,-1.395,L,-1.0
2026-08-10,823018,PHI,STL,HRR,Bryce Harper (PHI),547180,1.5,O,1.393,-132,2026-08-10T20:08:03+00:00,0,-1.393,L,-1.0
2026-08-10,823265,MIL,SD,HRR,Fernando Tatis (SD),665487,1.5,O,1.354,-118,2026-08-10T20:08:03+00:00,0,-1.354,L,-1.0
2026-08-10,824887,NYM,ATL,HRR,Ozzie Albies (ATL),645277,1.5,O,1.327,105,2026-08-10T20:08:03+00:00,0,-1.327,L,-1.0
2026-08-10,823018,PHI,STL,HRR,Trea Turner (PHI),607208,1.5,O,1.316,-155,2026-08-10T20:08:03+00:00,,,V,0.0
2026-08-10,823018,PHI,STL,HRR,Kyle Schwarber (PHI),656941,1.5,O,1.302,-140,2026-08-10T20:08:03+00:00,0,-1.302,L,-1.0
2026-08-10,822780,BOS,TOR,HRR,Ceddanne Rafaela (BOS),678882,1.5,O,1.296,-160,2026-08-10T20:08:03+00:00,0,-1.296,L,-1.0
2026-08-10,824887,NYM,ATL,HRR,Michael Harris II (ATL),671739,1.5,O,1.274,-135,2026-08-10T20:08:03+00:00,0,-1.274,L,-1.0
2026-08-10,825048,COL,ARI,HRR,Jake McCarthy (COL),664983,1.5,O,1.244,-130,2026-08-10T20:08:03+00:00,0,-1.244,L,-1.0
2026-08-10,823918,KC,LAD,HRR,Freddie Freeman (LAD),518692,1.5,O,1.226,-134,2026-08-10T20:08:03+00:00,0,-1.226,L,-1.0
2026-08-10,823265,MIL,SD,K,Logan Henderson (MIL),,5.5,U,5.42,122,2026-08-11T01:16:55+00:00,7,1.58,L,-1.0
2026-08-10,823265,MIL,SD,BB,Logan Henderson (MIL),,1.5,U,1.43,,2026-08-11T01:16:55+00:00,1,-0.43,W,0.0
2026-08-10,823265,MIL,SD,ER,Logan Henderson (MIL),,1.5,O,1.72,-154,2026-08-11T01:16:55+00:00,3,1.28,W,0.6494
2026-08-10,824887,NYM,ATL,K,Christian Scott (NYM),,5.5,O,5.97,106,2026-08-10T20:08:03+00:00,6,0.03,W,1.06
2026-08-10,824887,NYM,ATL,BB,Christian Scott (NYM),,1.5,O,1.8,-135,2026-08-10T20:08:03+00:00,1,-0.8,L,-1.0
2026-08-10,824887,NYM,ATL,ER,Christian Scott (NYM),,2.5,U,1.84,-124,2026-08-10T20:08:03+00:00,4,2.16,L,-1.0
