date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev,actual,err,settle,units
2026-08-13,824238,CLE,DET,ML,CLE,,,CLE,0.272,-121,2026-08-13T15:05:00Z,,,-3,-3.272,L,-1.0
2026-08-13,824238,CLE,DET,TOTAL,CLE@DET,,8.0,Under,7.344,-107,2026-08-13T15:05:00Z,,,3,-4.344,W,0.9346
2026-08-13,823829,PIT,MIA,ML,PIT,,,PIT,0.642,-120,2026-08-13T15:05:00Z,,,12,11.358,W,0.8333
2026-08-13,823829,PIT,MIA,TOTAL,PIT@MIA,,8.0,Over,8.15,-110,2026-08-13T15:05:00Z,,,14,5.85,W,0.9091
2026-08-13,823508,SEA,NYY,ML,NYY,,,NYY,0.096,-136,2026-08-13T15:05:00Z,,,-1,-1.096,L,-1.0
2026-08-13,823508,SEA,NYY,TOTAL,SEA@NYY,,7.5,Under,7.025,-100,2026-08-13T15:05:00Z,,,1,-6.025,W,1.0
2026-08-13,824561,CIN,CWS,ML,CWS,,,CWS,0.324,-133,2026-08-13T15:05:00Z,,,-1,-1.324,L,-1.0
2026-08-13,824561,CIN,CWS,TOTAL,CIN@CWS,,8.5,Over,9.124,-105,2026-08-13T15:05:00Z,,,17,7.876,W,0.9524
2026-08-13,822776,BOS,TOR,ML,BOS,,,BOS,1.174,-155,2026-08-13T15:05:00Z,,,7,5.826,W,0.6452
2026-08-13,822776,BOS,TOR,TOTAL,BOS@TOR,,8.0,Under,7.606,-112,2026-08-13T15:05:00Z,,,7,-0.606,W,0.8929
2026-08-13,822696,CHC,WSH,ML,WSH,,,WSH,0.2,129,2026-08-13T15:05:00Z,,,7,6.8,W,1.29
2026-08-13,822696,CHC,WSH,TOTAL,CHC@WSH,,8.5,Under,8.413,-100,2026-08-13T15:05:00Z,,,7,-1.413,W,1.0
2026-08-13,823669,PHI,MIN,ML,PHI,,,PHI,0.201,-103,2026-08-13T15:05:00Z,,,6,5.799,W,0.9709
2026-08-13,823669,PHI,MIN,TOTAL,PHI@MIN,,8.5,Under,8.332,-105,2026-08-13T15:05:00Z,,,8,-0.332,W,0.9524
2026-08-13,823995,TEX,LAA,ML,TEX,,,TEX,0.77,-154,2026-08-13T15:05:00Z,,,-7,-7.77,L,-1.0
2026-08-13,823995,TEX,LAA,TOTAL,TEX@LAA,,8.0,Under,7.437,-110,2026-08-13T15:05:00Z,,,7,-0.437,W,0.9091
2026-08-13,823915,MIL,LAD,ML,LAD,,,LAD,0.204,-145,2026-08-13T15:05:00Z,,,-1,-1.204,L,-1.0
2026-08-13,823915,MIL,LAD,TOTAL,MIL@LAD,,8.5,Under,7.843,-115,2026-08-13T15:05:00Z,,,9,1.157,L,-1.0
2026-08-13,824238,CLE,DET,TT,CLE,,4.5,Under,-0.24859,-140,2026-08-13T15:05:00Z,,,0,0.249,W,0.7143
2026-08-13,824238,CLE,DET,TT,DET,,3.5,Under,-0.03539,-105,2026-08-13T15:05:00Z,,,3,3.035,W,0.9524
