date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,on_board,actual,settle,units
2026-08-16,BAL@TB,BAL,2.5,Over,0.715,0.6,0.115,-167,williamhill_us,2,4.52,CONF (statsapi),False,10,W,0.5988
2026-08-16,BAL@TB,BAL,2.5,Under,0.285,0.4,-0.115,143,betrivers,2,4.52,CONF (statsapi),False,10,L,-1.0
2026-08-16,BAL@TB,BAL,3.5,Over,0.579,0.456,0.123,115,betmgm,5,4.52,CONF (statsapi),True,10,W,1.15
2026-08-16,BAL@TB,BAL,3.5,Under,0.421,0.544,-0.123,-134,betrivers,5,4.52,CONF (statsapi),False,10,L,-1.0
2026-08-16,BAL@TB,BAL,4.5,Over,0.449,0.327,0.121,190,betrivers,2,4.52,CONF (statsapi),False,10,W,1.9
2026-08-16,BAL@TB,BAL,4.5,Under,0.551,0.673,-0.121,-245,betrivers,2,4.52,CONF (statsapi),False,10,L,-1.0
2026-08-16,BAL@TB,TB,2.5,Over,0.758,0.678,0.08,-250,williamhill_us,2,4.79,CONF (statsapi),False,2,L,-1.0
2026-08-16,BAL@TB,TB,2.5,Under,0.242,0.322,-0.08,205,betrivers,2,4.79,CONF (statsapi),False,2,W,2.05
2026-08-16,BAL@TB,TB,3.5,Over,0.623,0.524,0.099,-125,fanduel,5,4.79,CONF (statsapi),True,2,L,-1.0
2026-08-16,BAL@TB,TB,3.5,Under,0.377,0.476,-0.099,105,betrivers,5,4.79,CONF (statsapi),False,2,W,1.05
2026-08-16,BAL@TB,TB,4.5,Over,0.485,0.392,0.093,140,williamhill_us,2,4.79,CONF (statsapi),False,2,L,-1.0
2026-08-16,BAL@TB,TB,4.5,Under,0.515,0.608,-0.093,-177,betrivers,2,4.79,CONF (statsapi),False,2,W,0.565
2026-08-16,BOS@PIT,BOS,4.5,Over,0.39,0.441,-0.051,115,williamhill_us,5,4.11,CONF (statsapi),False,3,L,-1.0
2026-08-16,BOS@PIT,BOS,4.5,Under,0.61,0.559,0.051,-141,betrivers,5,4.11,CONF (statsapi),False,3,W,0.7092
2026-08-16,BOS@PIT,PIT,3.5,Over,0.586,0.529,0.057,-125,williamhill_us,5,4.51,rotowire Confirmed Lineup,False,8,W,0.8
2026-08-16,BOS@PIT,PIT,3.5,Under,0.414,0.471,-0.057,100,fanduel,5,4.51,rotowire Confirmed Lineup,False,8,L,-1.0
2026-08-16,AZ@ATL,AZ,3.5,Over,0.583,0.584,-0.001,-159,betrivers,2,4.54,CONF (statsapi),False,3,L,-1.0
2026-08-16,AZ@ATL,AZ,3.5,Under,0.417,0.416,0.001,128,betrivers,2,4.54,CONF (statsapi),False,3,W,1.28
2026-08-16,AZ@ATL,AZ,4.5,Over,0.451,0.459,-0.008,112,fanduel,5,4.54,CONF (statsapi),False,3,L,-1.0
2026-08-16,AZ@ATL,AZ,4.5,Under,0.549,0.541,0.008,-130,betmgm,5,4.54,CONF (statsapi),False,3,W,0.7692
2026-08-16,AZ@ATL,AZ,5.5,Over,0.331,0.352,-0.022,180,betrivers,2,4.54,CONF (statsapi),False,3,L,-1.0
2026-08-16,AZ@ATL,AZ,5.5,Under,0.669,0.648,0.022,-200,williamhill_us,2,4.54,CONF (statsapi),False,3,W,0.5
2026-08-16,AZ@ATL,ATL,3.5,Over,0.485,0.623,-0.138,-190,betrivers,2,3.77,CONF (statsapi),False,5,W,0.5263
2026-08-16,AZ@ATL,ATL,3.5,Under,0.515,0.377,0.138,150,williamhill_us,2,3.77,CONF (statsapi),False,5,L,-1.0
2026-08-16,AZ@ATL,ATL,4.5,Over,0.34,0.49,-0.15,100,fanduel,5,3.77,CONF (statsapi),False,5,W,1.0
2026-08-16,AZ@ATL,ATL,4.5,Under,0.66,0.51,0.15,-118,williamhill_us,5,3.77,CONF (statsapi),True,5,L,-1.0
2026-08-16,AZ@ATL,ATL,5.5,Over,0.227,0.372,-0.145,163,betrivers,2,3.77,CONF (statsapi),False,5,L,-1.0
2026-08-16,AZ@ATL,ATL,5.5,Under,0.773,0.628,0.145,-187,williamhill_us,2,3.77,CONF (statsapi),False,5,W,0.5348
2026-08-16,NYY@TOR,NYY,2.5,Over,0.533,0.568,-0.035,-145,draftkings,3,3.13,CONF (statsapi),False,4,W,0.6897
2026-08-16,NYY@TOR,NYY,2.5,Under,0.467,0.432,0.035,120,betrivers,3,3.13,CONF (statsapi),False,4,L,-1.0
