date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,on_board,actual,settle,units
2026-08-17,STL@CIN G1,STL,2.5,Over,0.746,0.75,-0.004,-400,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,W,0.25
2026-08-17,STL@CIN G1,STL,2.5,Under,0.254,0.25,0.004,275,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,L,-1.0
2026-08-17,STL@CIN G1,STL,3.5,Over,0.615,0.643,-0.028,-225,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,W,0.4444
2026-08-17,STL@CIN G1,STL,3.5,Under,0.385,0.357,0.028,160,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,L,-1.0
2026-08-17,STL@CIN G1,STL,4.5,Over,0.487,0.524,-0.037,-122,fanduel,4,4.84,CONF (statsapi),824514,False,5,W,0.8197
2026-08-17,STL@CIN G1,STL,4.5,Under,0.513,0.476,0.037,100,williamhill_us,4,4.84,CONF (statsapi),824514,False,5,L,-1.0
2026-08-17,STL@CIN G1,STL,5.5,Over,0.372,0.415,-0.043,125,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,L,-1.0
2026-08-17,STL@CIN G1,STL,5.5,Under,0.628,0.585,0.043,-167,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,W,0.5988
2026-08-17,STL@CIN G1,STL,6.5,Over,0.274,0.312,-0.039,200,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,L,-1.0
2026-08-17,STL@CIN G1,STL,6.5,Under,0.726,0.688,0.039,-275,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,W,0.3636
2026-08-17,STL@CIN G1,STL,7.5,Over,0.19,0.248,-0.058,280,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,L,-1.0
2026-08-17,STL@CIN G1,STL,7.5,Under,0.81,0.752,0.058,-400,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,W,0.25
2026-08-17,STL@CIN G1,STL,8.5,Over,0.128,0.187,-0.059,400,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,L,-1.0
2026-08-17,STL@CIN G1,STL,8.5,Under,0.872,0.813,0.059,-667,williamhill_us,1,4.84,CONF (statsapi),824514,False,5,W,0.1499
2026-08-17,STL@CIN G1,CIN,2.5,Over,0.707,0.723,-0.017,-333,williamhill_us,1,4.32,CONF (statsapi),824514,False,6,W,0.3003
2026-08-17,STL@CIN G1,CIN,2.5,Under,0.293,0.277,0.017,240,williamhill_us,1,4.32,CONF (statsapi),824514,False,6,L,-1.0
2026-08-17,STL@CIN G1,CIN,3.5,Over,0.564,0.594,-0.03,-175,williamhill_us,1,4.32,CONF (statsapi),824514,False,6,W,0.5714
2026-08-17,STL@CIN G1,CIN,3.5,Under,0.436,0.406,0.03,130,williamhill_us,1,4.32,CONF (statsapi),824514,False,6,L,-1.0
2026-08-17,STL@CIN G1,CIN,4.5,Over,0.426,0.468,-0.042,108,fanduel,4,4.32,CONF (statsapi),824514,False,6,W,1.08
2026-08-17,STL@CIN G1,CIN,4.5,Under,0.574,0.532,0.042,-127,betrivers,4,4.32,CONF (statsapi),824514,False,6,L,-1.0
2026-08-17,STL@CIN G1,CIN,5.5,Over,0.301,0.355,-0.055,162,williamhill_us,1,4.32,CONF (statsapi),824514,False,6,W,1.62
2026-08-17,STL@CIN G1,CIN,5.5,Under,0.699,0.645,0.055,-225,williamhill_us,1,4.32,CONF (statsapi),824514,False,6,L,-1.0
2026-08-17,STL@CIN G1,CIN,6.5,Over,0.204,0.263,-0.059,260,williamhill_us,1,4.32,CONF (statsapi),824514,False,6,L,-1.0
2026-08-17,STL@CIN G1,CIN,6.5,Under,0.796,0.737,0.059,-350,williamhill_us,1,4.32,CONF (statsapi),824514,False,6,W,0.2857
