date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,pay,ev,on_board,actual,settle,units
2026-08-19,DET@PIT,DET,2.5,Over,0.705,0.635,0.07,-200,williamhill_us,2,4.46,CONF (statsapi),823342,0.5,0.0575,False,3,W,0.5
2026-08-19,DET@PIT,DET,2.5,Under,0.295,0.365,-0.07,160,williamhill_us,2,4.46,CONF (statsapi),823342,1.6,-0.233,False,3,L,-1.0
2026-08-19,DET@PIT,DET,3.5,Over,0.567,0.496,0.071,-110,williamhill_us,5,4.46,CONF (statsapi),823342,0.9091,0.0825,True,3,L,-1.0
2026-08-19,DET@PIT,DET,3.5,Under,0.433,0.504,-0.071,-110,betmgm,5,4.46,CONF (statsapi),823342,0.9091,-0.1734,False,3,W,0.9091
2026-08-19,DET@PIT,DET,4.5,Over,0.436,0.374,0.062,155,betrivers,2,4.46,CONF (statsapi),823342,1.55,0.1118,False,3,L,-1.0
2026-08-19,DET@PIT,DET,4.5,Under,0.564,0.626,-0.062,-195,betrivers,2,4.46,CONF (statsapi),823342,0.5128,-0.1468,False,3,W,0.5128
2026-08-19,DET@PIT,DET,5.5,Over,0.322,0.277,0.046,240,williamhill_us,1,4.46,CONF (statsapi),823342,2.4,0.0948,False,3,L,-1.0
2026-08-19,DET@PIT,DET,5.5,Under,0.678,0.723,-0.046,-333,williamhill_us,1,4.46,CONF (statsapi),823342,0.3003,-0.1184,False,3,W,0.3003
2026-08-19,DET@PIT,DET,6.5,Over,0.23,0.197,0.033,375,williamhill_us,1,4.46,CONF (statsapi),823342,3.75,0.0925,False,3,L,-1.0
2026-08-19,DET@PIT,DET,6.5,Under,0.77,0.803,-0.033,-600,williamhill_us,1,4.46,CONF (statsapi),823342,0.1667,-0.1017,False,3,W,0.1667
2026-08-19,DET@PIT,DET,7.5,Over,0.157,0.145,0.012,550,williamhill_us,1,4.46,CONF (statsapi),823342,5.5,0.0205,False,3,L,-1.0
2026-08-19,DET@PIT,DET,7.5,Under,0.843,0.855,-0.012,-1000,williamhill_us,1,4.46,CONF (statsapi),823342,0.1,-0.0727,False,3,W,0.1
2026-08-19,DET@PIT,DET,8.5,Over,0.103,0.11,-0.006,750,williamhill_us,1,4.46,CONF (statsapi),823342,7.5,-0.1245,False,3,L,-1.0
2026-08-19,DET@PIT,DET,8.5,Under,0.896,0.89,0.006,-2000,williamhill_us,1,4.46,CONF (statsapi),823342,0.05,-0.0592,False,3,W,0.05
2026-08-19,DET@PIT,PIT,2.5,Over,0.758,0.723,0.034,-333,williamhill_us,1,4.79,CONF (statsapi),823342,0.3003,-0.0144,False,4,W,0.3003
2026-08-19,DET@PIT,PIT,2.5,Under,0.242,0.277,-0.034,240,williamhill_us,1,4.79,CONF (statsapi),823342,2.4,-0.1772,False,4,L,-1.0
2026-08-19,DET@PIT,PIT,3.5,Over,0.624,0.602,0.022,-175,williamhill_us,2,4.79,CONF (statsapi),823342,0.5714,-0.0194,False,4,W,0.5714
2026-08-19,DET@PIT,PIT,3.5,Under,0.376,0.398,-0.022,143,betrivers,2,4.79,CONF (statsapi),823342,1.43,-0.0863,False,4,L,-1.0
2026-08-19,DET@PIT,PIT,4.5,Over,0.486,0.463,0.023,105,draftkings,5,4.79,CONF (statsapi),823342,1.05,-0.0037,False,4,L,-1.0
2026-08-19,DET@PIT,PIT,4.5,Under,0.514,0.537,-0.023,-125,betrivers,5,4.79,CONF (statsapi),823342,0.8,-0.0748,False,4,W,0.8
2026-08-19,DET@PIT,PIT,5.5,Over,0.358,0.349,0.009,170,williamhill_us,2,4.79,CONF (statsapi),823342,1.7,-0.0334,False,4,L,-1.0
2026-08-19,DET@PIT,PIT,5.5,Under,0.642,0.651,-0.009,-220,betrivers,2,4.79,CONF (statsapi),823342,0.4545,-0.0662,False,4,W,0.4545
2026-08-19,DET@PIT,PIT,6.5,Over,0.256,0.258,-0.002,260,williamhill_us,1,4.79,CONF (statsapi),823342,2.6,-0.0784,False,4,L,-1.0
2026-08-19,DET@PIT,PIT,6.5,Under,0.744,0.742,0.002,-400,williamhill_us,1,4.79,CONF (statsapi),823342,0.25,-0.07,False,4,W,0.25
2026-08-19,DET@PIT,PIT,7.5,Over,0.174,0.188,-0.014,400,williamhill_us,1,4.79,CONF (statsapi),823342,4.0,-0.13,False,4,L,-1.0
2026-08-19,DET@PIT,PIT,7.5,Under,0.826,0.812,0.014,-650,williamhill_us,1,4.79,CONF (statsapi),823342,0.1538,-0.0469,False,4,W,0.1538
2026-08-19,DET@PIT,PIT,8.5,Over,0.116,0.134,-0.018,600,williamhill_us,1,4.79,CONF (statsapi),823342,6.0,-0.188,False,4,L,-1.0
2026-08-19,DET@PIT,PIT,8.5,Under,0.884,0.866,0.018,-1200,williamhill_us,1,4.79,CONF (statsapi),823342,0.0833,-0.0423,False,4,W,0.0833
2026-08-19,SD@NYM,SD,2.5,Over,0.733,0.737,-0.004,-350,williamhill_us,1,4.76,CONF (statsapi),823587,0.2857,-0.0576,False,2,L,-1.0
2026-08-19,SD@NYM,SD,2.5,Under,0.267,0.263,0.004,260,williamhill_us,1,4.76,CONF (statsapi),823587,2.6,-0.0388,False,2,W,2.6
2026-08-19,SD@NYM,SD,3.5,Over,0.601,0.623,-0.022,-190,betrivers,2,4.76,CONF (statsapi),823587,0.5263,-0.0827,False,2,L,-1.0
2026-08-19,SD@NYM,SD,3.5,Under,0.399,0.377,0.022,150,williamhill_us,2,4.76,CONF (statsapi),823587,1.5,-0.0025,False,2,W,1.5
2026-08-19,SD@NYM,SD,4.5,Over,0.475,0.495,-0.02,-106,fanduel,5,4.76,CONF (statsapi),823587,0.9434,-0.0769,False,2,L,-1.0
2026-08-19,SD@NYM,SD,4.5,Under,0.525,0.505,0.02,-113,betrivers,5,4.76,CONF (statsapi),823587,0.885,-0.0104,False,2,W,0.885
2026-08-19,SD@NYM,SD,5.5,Over,0.363,0.387,-0.025,150,betrivers,2,4.76,CONF (statsapi),823587,1.5,-0.0925,False,2,L,-1.0
2026-08-19,SD@NYM,SD,5.5,Under,0.637,0.613,0.025,-182,williamhill_us,2,4.76,CONF (statsapi),823587,0.5495,-0.013,False,2,W,0.5495
2026-08-19,SD@NYM,SD,6.5,Over,0.264,0.303,-0.039,210,williamhill_us,1,4.76,CONF (statsapi),823587,2.1,-0.1816,False,2,L,-1.0
2026-08-19,SD@NYM,SD,6.5,Under,0.736,0.697,0.039,-286,williamhill_us,1,4.76,CONF (statsapi),823587,0.3497,-0.0067,False,2,W,0.3497
2026-08-19,SD@NYM,SD,7.5,Over,0.183,0.225,-0.043,320,williamhill_us,1,4.76,CONF (statsapi),823587,3.2,-0.2314,False,2,L,-1.0
2026-08-19,SD@NYM,SD,7.5,Under,0.817,0.775,0.043,-450,williamhill_us,1,4.76,CONF (statsapi),823587,0.2222,-0.0014,False,2,W,0.2222
2026-08-19,SD@NYM,SD,8.5,Over,0.124,0.17,-0.046,450,williamhill_us,1,4.76,CONF (statsapi),823587,4.5,-0.318,False,2,L,-1.0
2026-08-19,SD@NYM,SD,8.5,Under,0.876,0.83,0.046,-800,williamhill_us,1,4.76,CONF (statsapi),823587,0.125,-0.0145,False,2,W,0.125
2026-08-19,SD@NYM,NYM,2.5,Over,0.66,0.666,-0.006,-240,betrivers,2,3.95,CONF (statsapi),823587,0.4167,-0.065,False,4,W,0.4167
2026-08-19,SD@NYM,NYM,2.5,Under,0.34,0.334,0.006,188,betrivers,2,3.95,CONF (statsapi),823587,1.88,-0.0208,False,4,L,-1.0
2026-08-19,SD@NYM,NYM,3.5,Over,0.509,0.526,-0.017,-122,fanduel,5,3.95,CONF (statsapi),823587,0.8197,-0.0738,False,4,W,0.8197
2026-08-19,SD@NYM,NYM,3.5,Under,0.491,0.474,0.017,100,draftkings,5,3.95,CONF (statsapi),823587,1.0,-0.018,False,4,L,-1.0
2026-08-19,SD@NYM,NYM,4.5,Over,0.37,0.393,-0.022,143,betrivers,2,3.95,CONF (statsapi),823587,1.43,-0.1009,False,4,L,-1.0
2026-08-19,SD@NYM,NYM,4.5,Under,0.63,0.607,0.022,-180,betrivers,2,3.95,CONF (statsapi),823587,0.5556,-0.02,False,4,W,0.5556
2026-08-19,SD@NYM,NYM,5.5,Over,0.254,0.286,-0.032,225,williamhill_us,1,3.95,CONF (statsapi),823587,2.25,-0.1745,False,4,L,-1.0
2026-08-19,SD@NYM,NYM,5.5,Under,0.746,0.714,0.032,-333,williamhill_us,1,3.95,CONF (statsapi),823587,0.3003,-0.03,False,4,W,0.3003
2026-08-19,SD@NYM,NYM,6.5,Over,0.166,0.204,-0.039,360,williamhill_us,1,3.95,CONF (statsapi),823587,3.6,-0.2364,False,4,L,-1.0
2026-08-19,SD@NYM,NYM,6.5,Under,0.834,0.796,0.039,-550,williamhill_us,1,3.95,CONF (statsapi),823587,0.1818,-0.0144,False,4,W,0.1818
2026-08-19,SD@NYM,NYM,7.5,Over,0.105,0.145,-0.04,550,williamhill_us,1,3.95,CONF (statsapi),823587,5.5,-0.3175,False,4,L,-1.0
2026-08-19,SD@NYM,NYM,7.5,Under,0.895,0.855,0.04,-1000,williamhill_us,1,3.95,CONF (statsapi),823587,0.1,-0.0155,False,4,W,0.1
2026-08-19,SD@NYM,NYM,8.5,Over,0.065,0.104,-0.039,800,williamhill_us,1,3.95,CONF (statsapi),823587,8.0,-0.415,False,4,L,-1.0
2026-08-19,SD@NYM,NYM,8.5,Under,0.935,0.896,0.039,-2500,williamhill_us,1,3.95,CONF (statsapi),823587,0.04,-0.0276,False,4,W,0.04
2026-08-19,ATL@MIN,ATL,2.5,Over,0.747,0.706,0.041,-300,williamhill_us,1,4.83,CONF (statsapi),823664,0.3333,-0.004,False,4,W,0.3333
2026-08-19,ATL@MIN,ATL,2.5,Under,0.253,0.294,-0.041,220,williamhill_us,1,4.83,CONF (statsapi),823664,2.2,-0.1904,False,4,L,-1.0
2026-08-19,ATL@MIN,ATL,3.5,Over,0.617,0.593,0.025,-167,williamhill_us,2,4.83,CONF (statsapi),823664,0.5988,-0.0135,False,4,W,0.5988
2026-08-19,ATL@MIN,ATL,3.5,Under,0.383,0.407,-0.025,135,betrivers,2,4.83,CONF (statsapi),823664,1.35,-0.0999,False,4,L,-1.0
2026-08-19,ATL@MIN,ATL,4.5,Over,0.486,0.467,0.019,105,williamhill_us,5,4.83,CONF (statsapi),823664,1.05,-0.0037,False,4,L,-1.0
2026-08-19,ATL@MIN,ATL,4.5,Under,0.514,0.533,-0.019,-129,betrivers,5,4.83,CONF (statsapi),823664,0.7752,-0.0876,False,4,W,0.7752
2026-08-19,ATL@MIN,ATL,5.5,Over,0.369,0.354,0.014,170,betrivers,2,4.83,CONF (statsapi),823664,1.7,-0.0037,False,4,L,-1.0
2026-08-19,ATL@MIN,ATL,5.5,Under,0.631,0.646,-0.014,-215,betrivers,2,4.83,CONF (statsapi),823664,0.4651,-0.0755,False,4,W,0.4651
2026-08-19,ATL@MIN,ATL,6.5,Over,0.267,0.274,-0.007,240,williamhill_us,1,4.83,CONF (statsapi),823664,2.4,-0.0922,False,4,L,-1.0
2026-08-19,ATL@MIN,ATL,6.5,Under,0.733,0.726,0.007,-350,williamhill_us,1,4.83,CONF (statsapi),823664,0.2857,-0.0576,False,4,W,0.2857
2026-08-19,ATL@MIN,ATL,7.5,Over,0.186,0.204,-0.018,360,williamhill_us,1,4.83,CONF (statsapi),823664,3.6,-0.1444,False,4,L,-1.0
2026-08-19,ATL@MIN,ATL,7.5,Under,0.814,0.796,0.018,-550,williamhill_us,1,4.83,CONF (statsapi),823664,0.1818,-0.038,False,4,W,0.1818
2026-08-19,ATL@MIN,ATL,8.5,Over,0.127,0.145,-0.018,550,williamhill_us,1,4.83,CONF (statsapi),823664,5.5,-0.1745,False,4,L,-1.0
2026-08-19,ATL@MIN,ATL,8.5,Under,0.873,0.855,0.018,-1000,williamhill_us,1,4.83,CONF (statsapi),823664,0.1,-0.0397,False,4,W,0.1
2026-08-19,ATL@MIN,MIN,2.5,Over,0.721,0.688,0.033,-275,williamhill_us,1,4.44,CONF (statsapi),823664,0.3636,-0.0168,False,6,W,0.3636
2026-08-19,ATL@MIN,MIN,2.5,Under,0.279,0.312,-0.033,200,williamhill_us,1,4.44,CONF (statsapi),823664,2.0,-0.163,False,6,L,-1.0
2026-08-19,ATL@MIN,MIN,3.5,Over,0.579,0.563,0.016,-143,williamhill_us,5,4.44,CONF (statsapi),823664,0.6993,-0.0161,False,6,W,0.6993
2026-08-19,ATL@MIN,MIN,3.5,Under,0.421,0.437,-0.016,120,draftkings,5,4.44,CONF (statsapi),823664,1.2,-0.0738,False,6,L,-1.0
2026-08-19,ATL@MIN,MIN,4.5,Over,0.442,0.43,0.012,120,williamhill_us,2,4.44,CONF (statsapi),823664,1.2,-0.0276,False,6,W,1.2
2026-08-19,ATL@MIN,MIN,4.5,Under,0.558,0.57,-0.012,-148,betrivers,2,4.44,CONF (statsapi),823664,0.6757,-0.065,False,6,L,-1.0
2026-08-19,ATL@MIN,MIN,5.5,Over,0.316,0.312,0.005,205,betrivers,2,4.44,CONF (statsapi),823664,2.05,-0.0362,False,6,W,2.05
2026-08-19,ATL@MIN,MIN,5.5,Under,0.684,0.688,-0.005,-265,betrivers,2,4.44,CONF (statsapi),823664,0.3774,-0.0579,False,6,L,-1.0
2026-08-19,ATL@MIN,MIN,6.5,Over,0.218,0.225,-0.007,320,williamhill_us,1,4.44,CONF (statsapi),823664,3.2,-0.0844,False,6,L,-1.0
2026-08-19,ATL@MIN,MIN,6.5,Under,0.782,0.775,0.007,-450,williamhill_us,1,4.44,CONF (statsapi),823664,0.2222,-0.0442,False,6,W,0.2222
2026-08-19,ATL@MIN,MIN,7.5,Over,0.142,0.162,-0.02,480,williamhill_us,1,4.44,CONF (statsapi),823664,4.8,-0.1764,False,6,L,-1.0
2026-08-19,ATL@MIN,MIN,7.5,Under,0.858,0.838,0.02,-800,williamhill_us,1,4.44,CONF (statsapi),823664,0.125,-0.0348,False,6,W,0.125
2026-08-19,ATL@MIN,MIN,8.5,Over,0.089,0.117,-0.029,700,williamhill_us,1,4.44,CONF (statsapi),823664,7.0,-0.288,False,6,L,-1.0
